CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydro pumped storage , other conventioanl , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
22," 1,088.26 ", 564.43 , 332.70 ," 1,308.02 "," 2,006.86 ", 45.03 ," 1,594.82 "," 3,867.84 "," 1,593.74 ", 723.48 , 291.92 , 240.00 ," 13,630.44 "," 9,983.20 ", 300.22 ," 8,019.87 "," 5,637.22 ", 375.08 
23," 1,079.45 ", 563.45 , 148.89 ," 1,006.36 "," 2,104.22 ", 40.84 ," 1,621.60 "," 3,931.17 "," 2,093.57 ", 814.81 , 275.82 , 326.95 ," 14,074.20 "," 10,815.05 ", 268.80 ," 8,788.11 "," 5,219.02 ", 473.82 
24," 1,122.31 ", 596.61 , 426.13 ," 1,124.56 "," 1,664.08 ", 40.79 ," 1,873.64 "," 4,108.37 "," 1,838.05 "," 1,048.51 ", 267.05 , 221.47 ," 14,096.29 "," 10,881.86 ", 249.12 ," 9,090.04 "," 5,241.53 ", 643.55 
25," 1,110.31 ", 588.30 , 720.68 ," 2,811.12 "," 1,777.28 ", 41.72 ," 2,245.67 "," 3,446.45 "," 1,014.60 ", 736.78 , 307.56 , 229.64 ," 14,217.82 "," 8,909.06 ", 334.75 ," 7,673.14 "," 7,356.96 "," 1,230.51 "
26," 1,128.82 ", 525.43 , 343.48 ," 1,599.36 "," 1,926.33 ", 41.00 ," 2,276.23 "," 3,888.08 "," 1,445.89 ", 944.71 , 274.78 , 172.12 ," 13,916.84 "," 10,048.04 ", 255.70 ," 8,727.03 "," 5,839.19 "," 1,034.25 "
27," 1,129.20 ", 516.27 , 315.74 ," 1,604.36 "," 2,257.83 ", 38.75 ," 2,247.96 "," 3,787.08 "," 1,823.84 ", 886.45 , 271.87 , 295.44 ," 14,092.84 "," 9,915.26 ", 254.71 ," 9,040.77 "," 6,134.01 "," 1,631.62 "
28," 1,105.53 ", 494.58 , 348.30 ," 1,350.11 "," 1,883.48 ", 39.08 ," 2,216.60 "," 3,996.95 "," 2,001.30 "," 1,205.99 ", 213.39 , 215.94 ," 13,634.19 "," 10,052.62 ", 214.23 ," 9,636.78 "," 5,434.47 "," 1,627.52 "
29," 1,049.81 ", 431.95 , 109.65 , 995.57 ," 2,080.67 ", 38.59 ," 1,928.89 "," 4,110.27 "," 2,178.83 "," 1,253.96 ", 168.94 , 207.89 ," 13,541.00 "," 10,355.44 ", 128.27 ," 9,679.84 "," 4,875.18 "," 1,313.79 "
30," 1,037.42 ", 454.51 , 246.84 ," 1,020.19 "," 2,040.62 ", 37.73 ," 1,890.36 "," 3,734.77 "," 2,366.55 "," 1,266.87 ", 241.12 , 308.27 ," 13,895.13 "," 10,587.79 ", 195.50 ," 9,566.82 "," 5,078.42 "," 1,134.49 "
31," 1,047.49 ", 426.76 , 138.29 , 934.16 ," 2,074.72 ", 36.46 ," 2,089.32 "," 3,645.43 "," 2,202.39 ", 817.87 , 260.63 , 803.25 ," 13,865.49 "," 10,718.65 ", 229.36 ," 9,558.26 "," 4,918.50 "," 1,199.08 "
32," 1,077.88 ", 406.33 , 438.73 ," 2,275.73 "," 1,924.12 ", 35.84 ," 2,164.53 "," 3,711.98 "," 1,433.81 "," 1,186.16 ", 257.82 , 337.49 ," 13,894.29 "," 9,256.06 ", 311.42 ," 8,833.98 "," 6,416.44 "," 1,593.87 "
33," 1,090.16 ", 390.02 , 353.87 ," 1,357.42 "," 1,783.86 ", 36.51 ," 2,196.47 "," 3,585.52 "," 1,610.99 "," 1,194.68 ", 250.61 , 310.91 ," 13,462.39 "," 9,967.57 ", 240.29 ," 8,898.55 "," 5,262.45 ", 979.42 
