CW, biomass , hydro , wind off , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gass , hydrop pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWh 
19," 1,184.21 ", 497.16 , 589.71 ," 2,092.03 "," 1,458.15 ", 42.34 ," 1,659.36 "," 3,273.34 "," 1,534.99 "," 1,245.14 ", 263.84 , 345.79 ," 14,075.13 "," 9,935.55 ", 254.16 ," 8,058.48 "," 6,127.44 ", 362.71 
20," 1,183.51 ", 494.05 , 443.58 ," 2,213.32 "," 1,939.77 ", 39.57 ," 1,584.58 "," 3,071.79 "," 1,240.42 "," 1,096.65 ", 205.44 , 341.96 ," 13,868.45 "," 9,272.15 ", 279.26 ," 7,335.38 "," 6,519.24 ", 147.05 
21," 1,175.68 ", 515.19 , 475.12 ," 1,912.20 "," 1,688.91 ", 32.15 ," 1,341.67 "," 3,163.09 "," 1,170.57 "," 1,156.30 ", 239.37 , 319.23 ," 13,821.11 "," 9,745.20 ", 266.68 ," 7,150.76 "," 6,038.63 ",-364.99 
22," 1,155.05 ", 566.55 , 710.05 ," 1,818.96 "," 1,867.12 ", 35.46 ," 1,614.85 "," 2,261.25 ", 764.43 ," 1,018.26 ", 256.18 , 298.65 ," 12,835.89 "," 8,440.11 ", 343.28 ," 5,957.33 "," 6,409.37 ",-410.32 
23," 1,126.41 ", 557.33 , 571.07 ," 2,478.28 "," 2,235.94 ", 30.50 ," 1,722.37 "," 2,257.98 ", 918.10 ," 1,098.39 ", 306.12 , 283.09 ," 13,603.01 "," 8,318.06 ", 333.51 ," 6,279.90 "," 7,305.65 ",-116.39 
24," 1,140.34 ", 510.41 , 582.22 ," 1,779.05 "," 1,948.27 ", 30.69 ," 1,301.37 "," 2,364.54 ", 993.90 ," 1,251.90 ", 264.95 , 220.08 ," 12,903.07 "," 8,593.84 ", 306.20 ," 6,131.78 "," 6,255.94 ",-382.54 
25," 1,132.04 ", 545.26 , 223.54 ," 1,061.76 "," 2,106.03 ", 30.40 ," 1,501.27 "," 2,897.50 ", 992.56 ," 1,508.16 ", 260.34 , 256.85 ," 13,087.82 "," 9,696.83 ", 268.53 ," 7,156.33 "," 5,359.37 ",-643.68 
26," 1,104.45 ", 573.14 , 596.91 ," 1,776.10 "," 2,573.88 ", 31.17 ," 1,746.73 "," 2,403.96 ", 827.74 ," 1,412.04 ", 310.51 , 286.35 ," 13,833.36 "," 8,886.78 ", 326.62 ," 6,676.81 "," 6,966.16 ",-202.14 
27," 1,110.97 ", 567.33 , 925.75 ," 2,562.58 "," 2,261.67 ", 33.75 ," 1,893.31 "," 2,065.75 ", 675.68 ," 1,383.78 ", 266.19 , 265.01 ," 14,014.78 "," 8,265.15 ", 301.40 ," 6,283.52 "," 7,728.25 ", 131.55 
28," 1,087.73 ", 558.08 , 471.41 ," 1,562.17 "," 1,669.72 ", 36.11 ," 2,034.54 "," 2,627.51 "," 1,041.20 "," 1,544.92 ", 231.07 , 262.06 ," 13,603.67 "," 9,900.71 ", 254.46 ," 7,510.24 "," 5,616.30 ",-91.22 
