Date, Biomass , Hydro , Wind Offshore , Wind Onshore , Solar , Other renewable , Nuclear , Brown coal , Hard coal , Fossil Gas , Hydro pumped storage , Other Conventional , Total grid load , Residual load , Reverse hydro pumped , Sum conventional , Sum renewable ,CW,Season
01/01/2018," 1,193.08 ", 421.34 , 791.45 ," 6,390.03 ", 307.19 , 44.72 ," 1,632.70 "," 2,076.78 ", 432.20 , 666.73 , 313.25 , 279.06 ," 11,962.76 "," 4,474.36 ", 454.67 ," 5,087.47 "," 9,461.06 ",1,1
02/01/2018," 1,209.52 ", 426.47 , 661.55 ," 4,121.74 ", 170.13 , 56.06 ," 2,300.50 "," 3,606.72 "," 1,066.05 "," 1,185.53 ", 465.31 , 319.10 ," 14,761.50 "," 9,808.35 ", 329.40 ," 8,477.91 "," 7,110.78 ",1,1
03/01/2018," 1,203.52 ", 444.35 , 956.48 ," 8,597.91 ", 136.55 , 53.53 ," 2,040.91 "," 2,518.69 ", 646.55 , 926.16 , 365.48 , 320.68 ," 16,333.39 "," 6,642.78 ", 409.67 ," 6,452.98 "," 11,757.82 ",1,1
04/01/2018," 1,210.21 ", 472.61 , 389.39 ," 5,785.77 ", 96.56 , 55.29 ," 2,257.79 "," 3,249.50 "," 1,749.71 "," 1,138.22 ", 530.47 , 321.69 ," 16,013.85 "," 9,742.45 ", 377.64 ," 8,716.91 "," 8,540.30 ",1,1
05/01/2018," 1,213.39 ", 472.43 , 290.25 ," 5,369.92 ", 191.51 , 53.76 ," 2,183.23 "," 3,438.73 "," 1,910.74 "," 1,239.96 ", 512.81 , 297.92 ," 15,677.56 "," 9,826.18 ", 356.64 ," 9,070.57 "," 8,104.06 ",1,1
06/01/2018," 1,209.98 ", 467.44 , 304.86 ," 1,802.63 ", 303.74 , 48.28 ," 2,319.02 "," 3,953.86 "," 1,636.34 "," 1,078.56 ", 432.20 , 284.44 ," 13,416.98 "," 11,006.13 ", 386.65 ," 9,272.23 "," 4,569.13 ",1,1
07/01/2018," 1,212.07 ", 437.05 , 352.95 ," 3,652.90 ", 177.15 , 48.96 ," 2,313.42 "," 3,751.91 ", 693.45 , 959.72 , 308.89 , 286.26 ," 12,991.07 "," 8,808.45 ", 354.97 ," 8,004.75 "," 6,189.96 ",2,1
08/01/2018," 1,206.53 ", 436.16 , 657.61 ," 4,957.43 ", 316.43 , 57.27 ," 2,340.42 "," 4,178.83 "," 1,496.56 "," 1,420.84 ", 475.92 , 309.81 ," 16,484.60 "," 10,553.45 ", 306.60 ," 9,746.47 "," 8,107.34 ",2,1
09/01/2018," 1,205.53 ", 479.03 , 827.31 ," 4,765.26 ", 306.84 , 57.74 ," 2,276.88 "," 3,993.52 "," 1,761.05 "," 1,529.11 ", 325.82 , 305.54 ," 16,919.47 "," 11,020.33 ", 290.39 ," 9,866.10 "," 7,967.54 ",2,1
10/01/2018," 1,211.89 ", 495.24 , 270.72 ," 1,356.76 ", 394.13 , 57.72 ," 2,334.19 "," 4,374.08 "," 3,076.76 "," 1,961.67 ", 373.54 , 313.59 ," 16,243.57 "," 14,222.40 ", 295.18 ," 12,060.29 "," 4,159.99 ",2,1
11/01/2018," 1,212.85 ", 493.49 , 114.36 , 253.31 , 218.95 , 57.99 ," 2,345.69 "," 4,386.51 "," 3,631.31 "," 2,445.96 ", 388.47 , 322.44 ," 16,240.02 "," 15,653.64 ", 256.47 ," 13,131.91 "," 2,739.43 ",2,1
12/01/2018," 1,219.21 ", 486.78 , 515.31 , 818.58 , 114.75 , 57.76 ," 2,338.55 "," 4,265.23 "," 3,394.75 "," 2,106.44 ", 421.63 , 313.64 ," 16,167.66 "," 14,719.36 ", 214.11 ," 12,418.60 "," 3,634.02 ",2,1
13/01/2018," 1,214.58 ", 472.56 , 761.93 ," 2,637.49 ", 119.13 , 58.00 ," 2,333.59 "," 4,276.47 "," 1,635.10 "," 1,326.53 ", 231.82 , 302.86 ," 14,356.51 "," 10,838.28 ", 261.00 ," 9,874.56 "," 5,495.51 ",2,1
14/01/2018," 1,213.69 ", 438.68 , 815.71 ," 3,282.81 ", 346.40 , 58.00 ," 2,293.66 "," 4,109.52 ", 838.38 ," 1,213.58 ", 270.97 , 287.52 ," 13,438.45 "," 8,993.73 ", 315.24 ," 8,742.66 "," 6,426.25 ",3,1
15/01/2018," 1,207.03 ", 427.81 , 888.52 ," 6,606.93 ", 315.47 , 57.48 ," 2,280.69 "," 3,644.99 "," 1,111.04 "," 1,324.35 ", 342.61 , 296.23 ," 17,145.98 "," 9,335.38 ", 274.60 ," 8,657.30 "," 9,845.85 ",3,1
16/01/2018," 1,206.58 ", 444.55 , 937.67 ," 6,225.98 ", 193.23 , 56.21 ," 2,262.17 "," 3,636.98 "," 1,258.59 "," 1,238.33 ", 432.27 , 296.77 ," 17,237.06 "," 9,880.54 ", 259.03 ," 8,692.84 "," 9,496.49 ",3,1
17/01/2018," 1,203.26 ", 494.05 , 858.11 ," 5,939.73 ", 196.53 , 57.05 ," 2,292.20 "," 4,025.27 "," 1,151.55 "," 1,307.16 ", 377.49 , 296.45 ," 17,296.07 "," 10,302.08 ", 241.57 ," 9,072.63 "," 9,126.23 ",3,1
18/01/2018," 1,204.89 ", 488.46 , 676.14 ," 6,564.91 ", 164.74 , 57.38 ," 2,307.23 "," 3,691.65 "," 1,349.91 "," 1,256.26 ", 328.59 , 300.52 ," 17,351.17 "," 9,945.80 ", 269.08 ," 8,905.56 "," 9,485.09 ",3,1
19/01/2018," 1,217.01 ", 517.65 , 372.82 ," 2,734.24 ", 276.44 , 57.78 ," 2,340.70 "," 4,210.04 "," 2,388.40 "," 1,862.77 ", 418.83 , 307.80 ," 16,325.36 "," 12,942.17 ", 190.07 ," 11,109.71 "," 5,594.77 ",3,1
20/01/2018," 1,208.99 ", 501.58 , 388.47 ," 1,874.44 ", 156.44 , 57.06 ," 2,347.14 "," 4,375.55 "," 1,883.79 "," 1,352.22 ", 329.73 , 305.93 ," 14,218.57 "," 11,799.63 ", 194.97 ," 10,264.63 "," 4,516.71 ",3,1
21/01/2018," 1,201.68 ", 473.72 , 184.94 , 864.60 , 190.65 , 57.64 ," 2,352.83 "," 4,363.00 "," 1,507.42 ", 657.72 , 278.15 ," 1,187.32 "," 13,135.98 "," 11,896.15 ", 130.78 ," 10,068.29 "," 3,251.36 ",4,1
22/01/2018," 1,202.06 ", 474.80 , 618.00 ," 2,641.48 ", 100.65 , 57.69 ," 2,342.32 "," 4,086.02 "," 2,730.23 "," 1,795.44 ", 371.18 , 320.89 ," 16,416.82 "," 13,056.91 ", 226.09 ," 11,274.90 "," 5,465.85 ",4,1
23/01/2018," 1,202.20 ", 490.61 , 616.47 ," 3,285.04 ", 197.75 , 57.39 ," 2,309.17 "," 3,997.68 "," 2,646.05 "," 1,672.35 ", 374.42 , 312.80 ," 16,647.61 "," 12,548.55 ", 210.72 ," 10,938.05 "," 6,223.88 ",4,1
24/01/2018," 1,193.42 ", 472.61 ," 1,024.13 "," 6,855.68 ", 427.36 , 55.49 ," 2,246.34 "," 3,558.72 "," 1,028.77 "," 1,078.71 ", 339.21 , 300.70 ," 17,071.07 "," 8,764.11 ", 315.74 ," 8,213.24 "," 10,367.90 ",4,1
25/01/2018," 1,203.72 ", 451.97 , 932.59 ," 3,452.95 ", 314.17 , 54.00 ," 2,286.91 "," 3,896.10 "," 2,656.54 "," 1,588.10 ", 372.72 , 300.57 ," 16,437.85 "," 11,738.36 ", 242.03 ," 10,728.23 "," 6,782.11 ",4,1
26/01/2018," 1,214.29 ", 478.28 , 83.80 , 476.44 , 288.05 , 56.57 ," 2,337.86 "," 4,271.51 "," 3,630.14 "," 1,955.91 ", 436.58 , 336.30 ," 15,833.88 "," 14,985.80 ", 185.23 ," 12,531.72 "," 3,034.02 ",4,1
27/01/2018," 1,213.60 ", 476.64 , 607.14 ," 2,327.96 ", 266.25 , 55.68 ," 2,285.38 "," 4,126.61 "," 1,710.44 "," 1,180.92 ", 234.16 , 309.09 ," 13,919.60 "," 10,718.53 ", 182.83 ," 9,612.44 "," 5,181.42 ",4,1
28/01/2018," 1,205.20 ", 429.15 , 928.01 ," 7,809.58 ", 231.29 , 45.47 ," 1,751.79 "," 1,761.22 ", 469.25 , 707.68 , 238.44 , 274.42 ," 13,492.42 "," 4,523.85 ", 379.02 ," 4,964.35 "," 10,887.14 ",5,1
29/01/2018," 1,207.82 ", 444.07 , 934.00 ," 8,366.93 ", 247.33 , 51.35 ," 2,091.96 "," 2,642.66 ", 794.78 ," 1,000.78 ", 270.59 , 287.30 ," 16,803.11 "," 7,255.17 ", 267.65 ," 6,817.48 "," 11,522.10 ",5,1
30/01/2018," 1,214.92 ", 467.17 , 866.30 ," 4,177.66 ", 519.40 , 56.66 ," 2,302.54 "," 3,441.67 "," 2,270.46 "," 1,617.70 ", 439.68 , 307.48 ," 16,621.30 "," 11,058.27 ", 150.24 ," 9,939.84 "," 7,741.77 ",5,1
31/01/2018," 1,207.56 ", 466.50 , 966.81 ," 6,289.36 ", 322.01 , 56.82 ," 2,289.09 "," 3,764.92 "," 1,214.53 "," 1,262.43 ", 253.05 , 314.52 ," 17,043.72 "," 9,465.80 ", 245.59 ," 8,845.49 "," 9,562.13 ",5,1
