CW,biomass,hydro,windoff,windon,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgass,hydropumpedstorage,otherconventioanl,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,netexpMWh
37,1084.86,400.92,627.61,1484.12,1400.37,35.76,1945.55,3634.35,2423.53,1093.47,288.78,353.91,13947.15,10435.35,292.85,9450.82,5322.42,1186.05
38,1037.57,358.38,802.87,3016.34,1521.08,36.65,1923.95,3438.89,1820.25,833.01,351.61,366.44,14272.45,8932.46,386.82,8382.53,7124.48,1629.18
39,1088.04,371.27,832.01,2924.84,1380.78,37.56,1956.85,3699.88,1594.42,816.62,313.50,353.45,14370.79,9233.52,339.58,8421.23,6948.00,1473.51
40,1146.67,367.00,696.92,2958.14,1150.16,35.89,1944.91,3198.92,2308.34,987.30,316.06,393.87,13795.88,8990.98,330.46,8833.35,6670.84,1903.00
41,1076.60,336.91,743.48,2076.12,1264.32,35.15,1925.52,3443.52,2750.18,1277.94,330.05,397.76,14183.07,10099.43,348.69,9794.92,5862.64,1513.34
42,1109.10,311.06,282.19,1213.35,1108.60,36.06,1961.29,3794.43,3092.22,1722.71,296.14,355.60,14223.65,11619.84,305.38,10926.24,4356.50,1241.70
43,1185.58,297.62,870.13,4131.65,561.91,36.39,1887.37,3777.33,1791.79,1170.11,293.37,344.07,15069.05,9505.69,332.87,8970.68,7376.65,1661.90
44,1203.29,378.83,789.63,3647.58,478.81,37.19,1954.83,3733.71,1638.51,1212.34,242.75,371.83,14489.03,9573.33,333.62,8911.22,6778.09,1670.85
45,1206.86,332.92,624.35,2098.62,496.98,37.75,2096.53,3794.00,2573.29,1774.75,247.52,401.40,14750.02,11530.36,295.44,10639.96,5045.00,1161.14
46,1211.79,324.29,676.43,3177.15,533.34,38.00,2189.57,3582.92,2473.23,1469.79,218.04,390.28,15082.47,10695.81,306.23,10105.79,6179.04,1945.76
47,1229.12,345.43,655.96,3193.75,288.11,37.98,2300.64,3660.20,2771.97,1922.45,259.04,401.25,15464.42,11326.92,263.77,11056.50,6009.39,2033.68
48,1194.25,310.10,831.47,3093.08,230.55,37.58,2301.92,3701.54,2616.08,1934.79,260.79,416.94,15622.19,11467.39,317.45,10971.26,5957.82,1796.33
49,1149.40,331.72,993.76,5519.81,193.72,34.95,2194.37,3073.48,1577.81,1443.62,282.98,397.96,15724.61,9017.61,376.60,8687.25,8506.34,2180.73
50,1181.75,392.37,784.94,3838.51,163.40,34.23,2281.59,3424.69,2749.62,1954.81,316.01,408.73,15891.41,11104.83,360.50,10819.33,6711.19,2283.91
51,1221.69,325.97,702.97,3706.59,146.13,33.53,2313.29,3553.07,2371.26,1756.71,292.27,415.22,15290.07,10734.65,337.62,10409.52,6429.15,2366.52
52,1227.03,434.05,785.02,3321.76,204.64,33.91,2315.34,2406.65,1230.67,1200.74,274.47,400.63,12470.68,8159.57,317.11,7554.03,6280.87,1909.03
53,1226.82,373.96,631.96,3661.35,113.48,34.00,2256.32,2281.98,1031.03,1025.81,292.49,394.60,12045.20,7638.76,369.22,6989.74,6334.08,1710.04
