CW,biomass,hydro,windoff,windon,solar,otherenewables,nuclear,browncoal,hardcoal,fossilgas,hydropumpedstorage,otherconventional,totalgridload,residualload,reversehydropumped,sumconventional,sumrenewable,netexpMWH
37,1011.65,532.83,636.51,4062.16,1012.73,45.96,2151.04,3201.69,1046.90,331.38,274.93,1161.95,14050.03,8338.93,278.99,7892.97,7576.76,1747.53
38,923.93,528.73,135.97,444.81,1132.45,41.43,2242.57,3958.71,2776.50,735.24,244.98,1557.62,13873.33,12160.41,199.60,11270.63,3452.31,1396.48
39,1106.16,473.23,369.49,1032.20,991.44,43.61,2258.60,3740.46,2564.90,855.73,277.76,1436.61,14111.50,11718.69,230.44,10856.30,4293.88,1551.29
40,1095.99,488.47,998.00,4725.67,724.89,47.08,2472.09,3049.28,483.11,462.14,278.39,1002.22,13796.32,7348.06,292.91,7468.85,8358.49,2356.35
41,1106.05,468.40,684.67,3178.31,759.03,49.41,2521.42,3517.71,1787.73,585.81,312.25,1246.16,14542.21,9920.51,256.44,9658.84,6558.12,2119.13
42,1101.57,388.95,553.34,1812.74,967.41,46.36,2519.94,3935.57,2237.18,813.40,280.14,1316.10,14370.84,11037.67,218.77,10822.19,5150.50,2117.10
43,1110.97,393.14,740.61,3837.26,452.82,49.41,2447.84,3661.27,1552.60,713.46,258.48,1194.27,14688.78,9658.39,250.88,9569.44,6842.70,2106.03
44,1138.14,416.18,666.36,3174.60,555.81,53.10,2431.21,3274.88,1391.74,690.23,227.83,1412.62,13853.20,9456.72,213.23,9200.67,6232.02,2064.08
45,1158.49,446.07,526.02,2391.56,234.29,55.28,2245.60,4040.06,2260.82,1058.11,281.01,1689.50,15089.96,11938.36,243.37,11294.09,5092.72,1913.77
46,1193.23,503.13,578.57,2132.77,278.71,56.20,2295.95,3986.39,2452.00,965.50,294.19,1687.19,15311.06,12321.31,217.68,11387.01,5036.80,1768.99
47,1198.81,440.23,579.43,4327.02,278.30,54.97,2477.57,3671.67,1986.36,770.04,271.95,1408.88,15476.01,10291.56,244.49,10314.53,7150.72,2429.83
48,1200.83,448.21,515.70,2779.11,206.04,58.03,2542.26,4073.21,2446.06,1082.29,279.24,1713.39,15872.54,12371.98,267.33,11857.20,5487.15,2229.34
49,1203.62,396.74,907.18,5323.84,175.56,58.46,2475.76,3761.71,1506.98,777.06,178.18,1317.95,16273.52,9867.22,379.81,9839.47,8243.57,2543.77
50,1205.37,455.41,649.61,4528.44,185.01,57.81,2508.30,3767.64,1775.73,810.14,205.61,1522.82,16185.45,10822.64,385.23,10384.62,7287.26,2298.35
51,1206.68,462.27,382.59,2285.03,107.08,56.52,2520.06,3765.18,2473.29,1038.78,229.13,1645.54,15228.29,12453.88,382.78,11442.85,4729.30,1677.74
52,1201.05,406.99,833.24,5557.63,186.83,51.69,2250.43,2300.28,516.81,394.67,184.11,1082.54,12672.31,6094.93,435.75,6544.72,8421.53,2617.97
53,1191.78,454.13,887.10,6592.58,208.20,44.26,2012.94,1624.83,358.49,269.27,198.91,926.81,11667.28,3979.74,447.58,5192.34,9576.96,3455.83
