CW,biomass,hydro,windoffshore,windon,solar,otherrenewable,nuclear,browncoal,hardcoal,fossilgas,hydropumped,otherconventional,totalgirdload,residualload,reversehydro,sumconventional,sumrenewable,netexp
37,1081.29,581.44,131.57,1033.15,1493.66,30.64,2252.77,3767.58,2281.88,852.54,262.75,1360.76,13605.42,10947.37,188.08,10515.53,4614.50,1844.10
38,1073.52,524.86,283.73,1336.25,1396.99,32.67,2254.69,3691.51,2244.95,887.77,237.12,1241.39,13679.68,10663.02,193.45,10320.30,4885.14,1978.50
39,1100.64,585.16,115.24,634.68,1120.71,38.24,2435.58,4145.00,2591.37,914.23,195.69,1255.37,13469.12,11598.82,177.96,11341.55,3790.36,1988.83
40,1098.32,476.88,452.98,2018.16,1146.44,36.06,2604.56,3727.73,1943.99,698.75,260.02,1235.62,13812.50,10195.23,223.71,10210.65,5488.86,2378.11
41,1115.09,437.18,470.61,2146.34,672.70,40.19,2626.46,3846.93,1880.96,856.94,246.32,1726.81,13732.97,10443.64,194.64,10938.09,5128.42,2440.31
42,1119.41,380.40,562.73,1627.61,607.65,41.01,2636.58,3994.49,2482.56,905.46,277.55,1640.71,14573.05,11775.35,234.48,11659.82,4616.36,2204.78
43,1122.23,371.57,429.40,1024.13,497.56,41.81,2640.40,4025.14,2787.06,1020.93,290.20,1843.53,14556.39,12605.62,228.17,12317.06,3776.90,1933.97
44,1129.78,409.74,431.17,1313.14,435.10,42.51,2625.13,3959.28,2484.23,977.24,291.41,1915.97,14581.56,12402.48,234.60,11961.84,4052.84,1576.04
45,1139.56,358.53,369.08,1700.04,503.18,47.94,2616.52,4280.36,2455.16,659.41,263.19,1550.32,14251.02,11679.01,227.05,11561.77,4381.52,2395.83
46,1142.90,429.17,324.49,1092.51,275.46,49.21,2628.91,4375.69,3064.70,1163.67,296.87,1852.55,15409.32,13717.16,252.82,13085.52,3610.60,1892.08
47,1131.95,412.97,611.69,3461.63,305.76,48.94,2577.20,3777.08,2062.92,801.29,282.12,1633.16,15617.45,11238.66,274.31,10851.64,6255.07,2215.70
48,1140.35,429.92,388.95,2409.46,316.18,47.69,2509.07,3847.86,2626.79,964.28,294.09,1732.35,15356.75,12242.43,262.48,11680.35,5026.65,1914.08
49,1164.00,405.61,490.30,2842.77,463.26,50.80,2537.89,3688.87,2681.33,901.27,290.39,1616.14,15820.88,12024.86,250.15,11425.49,5707.13,2080.08
50,1185.62,392.23,371.50,2414.24,359.98,49.36,2514.63,3999.72,2886.74,1088.66,310.82,1792.03,15976.87,12831.42,230.95,12281.78,5083.74,2197.62
51,1191.35,404.14,292.81,1597.90,189.86,49.09,2262.97,4265.50,3119.90,1259.06,321.00,1823.82,15652.71,13572.48,240.56,12731.25,4046.15,1909.27
52,1190.52,384.31,487.47,2430.02,185.95,50.67,2016.99,3768.87,2613.16,1204.10,315.31,1695.66,14967.84,11864.69,225.47,11298.78,5044.24,2208.14
53,1180.34,341.57,586.05,3907.27,284.27,45.51,1505.17,2883.48,1240.91,732.11,267.66,1210.30,12742.62,7965.32,266.47,7571.96,6612.67,1866.27
