Date,Biomass,Hydro,Wind Offshore,Wind Onshore,Solar,Other renewable,Nuclear,Brown coal,Hard coal,Fossil Gas,Hydro pumped storage,Other Conventional,Total grid load,Residual load,Reverse hydro pumped,Sum conventional,Sum renewable,CW,Season,Net exp MWh
01/01/2020,1238,340,720,1548,530,56,2012,2569,494,1204,269,404,11360,8561,388,6683,4702,1,1,559
02/01/2020,1242,344,1501,2587,414,56,2001,2639,617,1383,351,401,13846,9345,294,7042,6495,1,1,357
03/01/2020,1247,352,1481,6621,190,54,1917,1914,742,1140,300,389,14413,6121,407,6103,10245,1,1,2246
04/01/2020,1237,355,1183,7177,137,53,1884,1804,745,1093,177,379,13587,5090,481,5905,10319,1,1,2671
05/01/2020,1237,335,960,2348,260,55,1994,2653,629,1427,239,387,12362,8795,191,7090,5433,2,1,788
06/01/2020,1240,329,1468,2643,397,55,1980,2569,1449,2047,283,383,14443,9934,320,8428,6416,2,1,913
07/01/2020,1234,350,1205,3900,159,55,1970,2906,1954,2229,361,379,15972,10708,324,9438,7263,2,1,1342
08/01/2020,1228,366,1060,4932,102,53,1958,2773,2162,2162,324,382,16348,10255,319,9437,8065,2,1,1567
09/01/2020,1238,355,992,4531,253,53,1984,2877,1621,1905,216,395,16061,10285,247,8782,7638,2,1,1147
10/01/2020,1245,363,876,5492,319,50,1938,2848,1544,1800,292,387,15862,9175,326,8516,8638,2,1,1818
11/01/2020,1249,350,1266,4114,385,55,1945,2647,974,1709,243,406,13837,8071,250,7682,7662,2,1,1738
12/01/2020,1212,319,1300,6857,358,56,1872,1654,865,1114,75,396,13442,4927,483,5901,10177,3,1,3144
13/01/2020,1217,341,1114,3664,277,55,1999,2781,1699,2061,472,402,16007,10952,171,8943,7140,3,1,680
14/01/2020,1202,354,1376,8145,399,53,1922,2026,1031,1306,324,368,16837,6919,390,6653,11852,3,1,2042
15/01/2020,1193,367,1183,7632,669,51,1953,2084,1080,1179,286,379,16513,7029,370,6675,11381,3,1,1871
16/01/2020,1209,361,1261,3511,686,51,1954,2911,1456,2074,379,394,16089,10631,329,8789,7458,3,1,635
17/01/2020,1217,330,1299,4685,583,54,1942,2944,1226,2087,318,406,16098,9532,345,8605,8485,3,1,1330
18/01/2020,1225,317,1239,4210,314,53,1928,2867,962,1635,313,407,13985,8223,303,7799,7671,3,1,1941
19/01/2020,1238,315,1135,1797,321,55,2012,2993,1015,1817,181,405,12798,9546,387,8243,5040,4,1,730
20/01/2020,1243,326,739,1528,471,54,1997,3337,2953,2894,345,403,15914,13175,253,11584,4707,4,1,980
21/01/2020,1239,345,1074,2732,675,54,2010,3382,2815,3063,305,401,16599,12118,261,11672,6425,4,1,1897
22/01/2020,1241,366,541,2013,263,56,2006,3716,3390,3084,427,317,16617,13799,318,12513,4908,4,1,1394
23/01/2020,1247,372,445,698,301,56,2023,3774,3664,3228,407,324,16524,15080,323,13013,3527,4,1,745
24/01/2020,1255,362,798,1292,487,55,2022,3674,3580,3137,364,354,16333,13757,338,12766,4613,4,1,1514
25/01/2020,1254,348,803,987,299,55,2021,3753,2376,2465,253,392,14126,12038,211,11008,4000,4,1,1448
26/01/2020,1245,318,935,1452,392,55,2017,3012,1396,1860,184,397,12846,10068,293,8681,4580,5,1,813
27/01/2020,1243,322,1110,4645,417,54,1980,2790,1568,2158,350,407,16125,9953,389,8902,8141,5,1,1316
28/01/2020,1225,340,1068,7376,261,54,1866,1947,917,1629,332,403,16718,8014,394,6761,10657,5,1,1321
29/01/2020,1229,344,1336,7555,261,55,1881,1742,1074,1798,285,387,17146,7994,383,6882,11066,5,1,1603
30/01/2020,1227,357,1338,7333,481,55,1830,1940,955,1469,365,380,16821,7669,374,6574,11156,5,1,1856
31/01/2020,1215,341,1369,7948,370,48,1720,1672,748,1182,404,385,16307,6620,389,5707,11696,5,1,1708
01/02/2020,1225,353,1462,8033,341,43,1726,1016,508,777,306,360,14216,4381,522,4386,11762,5,1,2457
02/02/2020,1215,374,504,5585,183,48,1841,1546,378,922,345,383,13042,6770,400,5070,8253,6,1,938
03/02/2020,1210,485,1149,5712,224,51,1925,2070,583,1390,375,392,15928,8843,357,6359,9207,6,1,288
04/02/2020,1223,472,1200,5910,506,51,1916,2416,723,1541,285,312,16724,9108,388,6909,9647,6,1,715
05/02/2020,1229,491,581,3363,906,53,1991,3040,1656,2415,404,387,16439,11590,327,9488,7026,6,1,718
06/02/2020,1243,489,524,2601,657,52,2013,3388,2365,2695,343,397,16494,12713,357,10858,5907,6,1,899
07/02/2020,1237,467,561,1784,797,52,2006,3312,1979,2689,377,393,15861,12718,306,10379,5275,6,1,298
08/02/2020,1235,460,1140,3430,911,52,1983,2212,626,1656,251,313,13881,8400,252,6791,7479,6,1,1074
09/02/2020,1205,420,934,7704,832,41,1472,1098,599,696,189,263,13389,3920,503,4128,11325,7,1,2890
10/02/2020,1188,430,1235,8759,572,49,1766,1191,792,1033,451,287,16528,5962,365,5068,12684,7,1,2028
11/02/2020,1208,475,1247,9472,545,50,1803,1223,831,1020,357,292,17135,5871,347,5169,13353,7,1,2161
12/02/2020,1182,470,1264,8624,550,51,1847,1485,886,1133,293,296,17044,6605,407,5648,12434,7,1,1552
13/02/2020,1223,459,975,5216,438,53,1971,2277,1065,1847,306,386,16813,10185,324,7545,8670,7,1,237
14/02/2020,1233,474,520,2359,358,53,2009,2750,1299,2310,475,310,15848,12612,271,8677,5472,7,1,-833
15/02/2020,1224,462,1410,5595,998,50,1805,1302,475,1002,257,366,13888,5886,372,4949,9995,7,1,1469
16/02/2020,1213,386,949,8795,458,39,1371,1029,399,681,179,342,13414,3212,513,3823,12020,8,1,3089
17/02/2020,1212,417,1357,7571,474,47,1783,1525,734,1064,425,278,16137,6735,299,5382,11503,8,1,1160
18/02/2020,1215,455,1404,8202,719,49,1904,1345,760,1098,307,350,16650,6326,428,5457,12350,8,1,1386
19/02/2020,1201,444,1292,7131,601,51,1922,1629,666,1579,362,294,16462,7438,341,6090,11082,8,1,1270
20/02/2020,1223,447,1404,6279,488,52,1956,1649,591,1688,364,311,16236,8065,251,6195,10258,8,1,830
21/02/2020,1199,441,1472,7519,986,50,1935,1132,726,1208,432,295,16083,6106,356,5296,12098,8,1,1516
22/02/2020,1214,414,1148,9135,822,40,1554,998,423,686,133,269,14237,3133,545,3930,12907,8,1,3114
23/02/2020,1214,396,1237,7877,209,43,1747,958,402,694,300,277,13089,3767,426,4079,11274,9,1,2659
24/02/2020,1218,458,1118,5692,454,51,1931,1581,611,1440,390,305,15364,8101,269,5869,9382,9,1,497
25/02/2020,1220,465,1250,7558,647,49,1823,1790,817,1281,337,302,16045,6590,429,6013,11527,9,1,1788
26/02/2020,1232,480,452,4298,597,53,2010,2540,827,2052,425,312,16014,10668,257,7741,7537,9,1,216
27/02/2020,1233,503,672,2645,524,54,2017,2662,1447,2530,478,319,16125,12284,353,8975,6109,9,1,-193
28/02/2020,1213,464,1353,5215,845,53,1920,2367,836,2003,369,378,15973,8561,365,7505,9512,9,1,1359
29/02/2020,1211,441,1395,7537,768,42,1854,1024,549,894,173,343,14001,4302,326,4665,11566,9,1,2654
01/03/2020,1196,423,1169,6528,1033,45,1817,1243,542,820,252,345,12811,4082,487,4768,10646,10,1,2751
02/03/2020,1184,440,457,2561,1016,53,1999,2740,1672,2062,367,374,15388,11355,276,8847,6077,10,1,82
03/03/2020,1173,484,285,2615,730,54,2014,3047,2274,2533,414,377,15636,12006,345,10245,5755,10,1,709
04/03/2020,1187,468,329,2061,887,55,2013,3114,2466,2611,387,323,15706,12428,334,10526,5374,10,1,782
05/03/2020,1219,452,492,2909,806,53,2011,3073,1791,2283,362,319,15787,11580,340,9478,6292,10,1,639
06/03/2020,1225,460,1053,4705,380,54,1968,2379,1048,2127,463,392,15886,9748,307,7915,8340,10,1,672
07/03/2020,1223,429,648,3516,733,54,2002,2302,631,1680,294,398,13474,8577,293,7013,6898,10,1,907
08/03/2020,1213,414,1371,4905,1092,45,1910,1428,473,958,190,365,12766,5399,584,5134,9230,11,1,1882
09/03/2020,1217,427,645,2828,820,54,1996,2370,1198,2244,464,392,15136,10842,199,8200,6455,11,1,-213
10/03/2020,1206,450,1457,8135,317,52,1838,1402,1027,1395,288,375,16686,6776,385,6037,11906,11,1,1434
11/03/2020,1214,478,1449,6390,836,49,1856,1456,695,1392,439,353,16182,7508,352,5752,10855,11,1,752
12/03/2020,1188,477,1243,8355,1170,48,1770,1181,741,1073,360,342,16307,5539,513,5107,12841,11,1,1951
13/03/2020,1130,480,1100,7244,1238,51,1912,1266,820,1264,417,350,16005,6424,406,5613,11660,11,1,1552
14/03/2020,1168,473,750,1797,1556,54,2012,1633,691,1346,280,258,13060,8957,163,5940,6079,11,1,-396
15/03/2020,1210,429,1304,5138,1829,47,1805,1234,518,900,186,311,12674,4403,493,4769,10143,12,1,2460
16/03/2020,1205,416,552,1721,1842,49,2003,2424,1486,1810,349,360,14754,10640,234,8083,6133,12,1,-159
17/03/2020,1201,429,1267,1791,1219,47,1988,2645,1471,1872,338,363,15056,10780,323,8340,6293,12,1,-306
18/03/2020,1199,429,853,3123,1702,45,1985,2534,1332,1194,386,361,15049,9371,368,7406,7739,12,1,247
19/03/2020,1198,440,105,583,1513,45,1999,3111,1287,1939,313,308,14467,12266,301,8644,4197,12,1,-1147
20/03/2020,1204,459,649,1885,1100,49,1787,3064,689,1450,280,364,14241,10608,219,7354,5625,12,1,-798
21/03/2020,1179,461,1408,5644,946,45,1593,1123,395,787,301,342,13055,5057,388,4240,9984,12,1,1529
22/03/2020,1208,399,1215,4899,2200,43,1392,1099,423,713,220,340,12252,3938,506,3967,10184,13,1,2273
23/03/2020,1205,406,1285,3850,2372,48,1634,1543,528,1016,438,368,14422,6915,375,5088,9606,13,1,540
24/03/2020,1201,417,1060,3431,2345,53,1657,2214,586,1082,342,351,14480,7645,354,5890,8849,13,1,514
25/03/2020,1199,403,597,3929,2337,52,1645,2502,558,1175,266,352,14426,7562,398,6231,8784,13,1,920
26/03/2020,1199,407,447,4314,1967,50,1636,2248,637,1135,326,349,14244,7516,305,6005,8710,13,1,873
27/03/2020,1211,409,676,3538,2164,46,1608,2357,523,1072,397,297,13825,7447,267,5857,8440,13,1,1058
28/03/2020,1211,402,1101,2895,2193,46,1574,1479,333,892,345,351,12170,5981,406,4628,8193,13,1,933
29/03/2020,1198,372,1221,5651,863,46,1561,1221,333,648,192,340,12295,4559,473,4102,9543,14,1,1886
30/03/2020,1209,375,942,2293,1716,54,1663,2108,531,1564,413,364,14000,9050,256,6230,7001,14,1,-372
31/03/2020,1210,409,294,1192,1866,53,1679,2595,650,1789,418,346,14073,10721,322,7059,5443,14,1,-1155
01/04/2020,1214,405,994,2115,2210,50,1656,2461,501,1615,418,289,14478,9159,383,6522,7407,14,2,72
02/04/2020,1204,418,1414,3455,1998,51,1607,2112,537,1246,267,279,14427,7561,360,5781,8807,14,2,601
03/04/2020,1210,395,1121,3640,1433,50,1637,2034,439,1166,414,332,14285,8091,320,5608,8262,14,2,-84
04/04/2020,1218,385,587,1030,2202,45,1634,1736,324,1243,392,365,11900,8081,401,5302,5860,14,2,-525
05/04/2020,1208,349,1091,4079,2491,40,1383,1015,261,770,181,265,11416,3755,564,3694,9439,15,2,1949
06/04/2020,1206,349,1041,3196,2450,42,1675,1402,273,1023,452,350,13432,6746,387,4723,8735,15,2,214
07/04/2020,1187,350,238,1481,2338,43,1880,2158,370,1389,362,373,13411,9354,422,6171,5999,15,2,-974
08/04/2020,1162,354,226,1430,2358,42,1882,2188,399,1489,389,368,13213,9199,369,6325,5962,15,2,-729
09/04/2020,1183,376,331,1364,2200,42,1868,2181,436,1521,350,366,13100,9205,418,6373,5847,15,2,-662
10/04/2020,1192,383,73,970,2340,43,1936,1241,488,1063,322,340,10785,7403,398,5067,5322,15,2,-207
11/04/2020,1194,384,235,657,2449,42,1912,1149,562,859,383,342,10839,7498,385,4825,5345,15,2,-468
12/04/2020,1189,361,466,1323,2199,40,1595,1065,519,664,286,342,10312,6325,373,4185,5863,16,2,13
13/04/2020,1164,340,1224,4512,1709,39,1349,877,367,549,163,316,10892,3446,568,3459,9152,16,2,1790
14/04/2020,1173,391,942,2708,1947,45,1617,1142,335,1102,455,353,13024,7429,393,4550,7660,16,2,-664
15/04/2020,1172,391,967,2472,2411,46,1650,1168,359,1142,398,349,13397,7548,364,4668,7856,16,2,-804
16/04/2020,1152,380,297,1448,2397,43,1571,1436,555,1519,349,364,13366,9225,432,5444,6066,16,2,-1711
17/04/2020,1156,392,196,759,2400,42,1591,1540,570,1715,415,343,12912,9558,382,5758,5359,16,2,-1743
18/04/2020,1154,394,598,1721,2028,43,1619,1194,588,896,326,347,11371,7024,373,4644,6266,16,2,-450
19/04/2020,1152,388,837,3509,2207,39,1529,1051,577,629,202,342,10951,4399,490,4127,8333,17,2,1679
20/04/2020,1148,395,908,5714,2635,41,1532,906,489,718,459,336,13441,4183,538,3981,11301,17,2,2114
21/04/2020,1147,388,1088,6556,2647,39,1532,863,444,610,398,326,13911,3620,526,3776,12264,17,2,2324
22/04/2020,1176,431,1145,4768,2732,40,1593,983,440,682,446,338,13703,5059,435,4036,10738,17,2,1308
23/04/2020,1186,429,248,1385,2670,40,1631,1277,588,1668,437,345,13344,9042,412,5508,6395,17,2,-1430
24/04/2020,1177,441,762,2675,2289,39,1619,1309,449,1143,262,347,13124,7398,422,4866,7646,17,2,-818
25/04/2020,1194,421,403,1789,2210,43,1607,1145,383,915,341,347,11541,7139,385,4397,6400,17,2,-855
26/04/2020,1197,401,95,372,2457,42,1634,1283,472,1100,257,340,10684,7759,375,4828,4821,18,2,-1175
27/04/2020,1178,427,262,679,2331,41,1630,1989,482,1803,372,347,12935,9663,406,6249,5290,18,2,-1579
28/04/2020,1150,446,104,1226,1543,38,1636,2372,568,1906,373,345,13334,10462,250,6827,4879,18,2,-1534
29/04/2020,1158,470,256,1836,1210,43,1629,2258,538,1794,335,356,13514,10212,362,6574,5308,18,2,-1439
30/04/2020,1184,442,939,3609,1307,41,1604,1403,462,1101,359,347,13431,7577,479,4918,7880,18,2,-429
01/05/2020,1182,459,523,3660,1559,40,1537,1080,410,668,228,332,10979,5237,434,4026,7651,18,2,940
02/05/2020,1176,452,305,3300,1508,44,1607,1072,425,635,311,333,11193,6081,406,4071,7096,18,2,130
03/05/2020,1182,458,188,1310,1849,47,1614,1199,433,811,294,345,10633,7286,450,4402,5328,19,2,-854
04/05/2020,1177,455,440,1349,1458,46,1625,2167,448,1686,301,370,13220,9973,332,6296,5226,19,2,-1791
05/05/2020,1182,456,426,2055,2088,46,1641,1976,452,1637,266,368,13659,9089,379,6074,6520,19,2,-1046
06/05/2020,1187,477,379,2074,2747,45,1615,1864,439,1569,271,365,13628,8428,366,5852,7179,19,2,-880
07/05/2020,1191,480,294,1156,2645,46,1616,1939,395,1902,338,370,13444,9350,336,6222,6149,19,2,-1103
08/05/2020,1188,467,241,455,2637,43,1519,2112,408,1826,345,377,12963,9631,392,6242,5377,19,2,-1450
09/05/2020,1183,458,29,694,2118,42,1288,1311,580,1512,314,395,11188,8349,285,5086,4838,19,2,-1395
10/05/2020,1179,486,749,1840,1705,40,1265,1112,583,722,195,319,10606,6312,290,4001,6195,20,2,-550
11/05/2020,1177,497,1304,5330,864,45,1272,1066,560,897,294,372,13964,6467,545,4166,9510,20,2,-511
12/05/2020,1193,532,828,2238,2225,47,1305,1477,639,1621,276,380,13899,8608,279,5423,7339,20,2,-1170
13/05/2020,1201,535,635,1163,1542,47,1306,2140,736,2128,348,383,13651,10311,258,6693,5471,20,2,-1528
14/05/2020,1200,541,364,1799,1806,47,1304,1976,660,1970,338,384,13666,9697,304,6294,6096,20,2,-1402
15/05/2020,1199,538,853,2213,1941,46,1296,1624,643,1537,322,382,13590,8583,332,5482,7113,20,2,-968
16/05/2020,1197,530,778,2253,2511,47,1286,1153,573,935,317,376,11760,6218,415,4323,7633,20,2,113
17/05/2020,1189,485,1002,2299,2635,42,1254,1005,617,709,239,361,10952,5017,423,3947,7890,21,2,893
18/05/2020,1171,470,864,2121,2528,42,1274,1393,751,1292,322,372,13368,7855,400,5083,7519,21,2,-753
