CW, biomass , hydro , wind offshore , wind on , solar , other renewable , nuclear , brown coal , hard coal , fossil gas , hydro pumped , other conventional , total gird load , residual load , reverse hydro , sum conventional , sum renewable , net exp 
21," 1,133.15 ", 656.33 , 285.03 ," 1,690.44 "," 1,432.36 ", 38.17 ," 1,782.17 "," 3,384.09 "," 1,672.31 ", 428.02 , 275.59 ," 1,083.54 "," 13,345.42 "," 9,937.94 ", 219.67 ," 8,350.13 "," 5,511.08 "," 1,054.99 "
22," 1,114.73 ", 686.06 , 148.20 , 965.18 ," 1,340.47 ", 37.02 ," 1,604.94 "," 3,553.65 "," 2,233.97 ", 475.46 , 234.81 ," 1,194.48 "," 13,466.70 "," 11,013.17 ", 212.12 ," 9,062.50 "," 4,526.48 ", 717.07 
23," 1,099.12 ", 676.15 , 367.08 ," 1,071.91 "," 1,347.44 ", 36.64 ," 1,736.65 "," 3,386.18 "," 2,162.71 ", 427.44 , 271.52 ," 1,100.49 "," 13,871.81 "," 11,085.69 ", 218.73 ," 8,813.46 "," 4,869.86 ", 360.96 
24," 1,088.58 ", 666.68 , 161.52 , 751.70 ," 1,894.69 ", 33.20 ," 2,101.66 "," 3,317.94 "," 2,251.61 ", 323.74 , 203.34 ," 1,000.45 "," 13,620.82 "," 10,813.23 ", 190.76 ," 8,995.41 "," 4,799.71 ", 586.68 
25," 1,100.27 ", 658.20 , 143.87 , 826.14 ," 1,391.38 ", 32.76 ," 2,022.42 "," 3,534.94 "," 2,434.00 ", 424.32 , 254.18 ," 1,065.49 "," 13,704.45 "," 11,343.39 ", 216.34 ," 9,481.17 "," 4,406.79 ", 600.32 
26," 1,082.81 ", 656.70 , 184.66 ," 1,064.19 "," 1,791.13 ", 32.31 ," 2,181.35 "," 3,106.08 "," 2,354.78 ", 386.35 , 310.63 ," 1,167.46 "," 13,739.30 "," 10,699.69 ", 219.67 ," 9,196.04 "," 5,122.42 ", 886.06 
27," 1,093.43 ", 683.29 , 317.49 ," 1,656.93 "," 1,613.60 ", 30.27 ," 2,127.90 "," 3,289.01 "," 1,884.53 ", 363.12 , 260.06 ," 1,088.30 "," 13,841.08 "," 10,253.43 ", 226.51 ," 8,752.86 "," 5,655.07 ", 896.57 
28," 1,089.12 ", 702.76 , 382.70 ," 1,976.70 "," 1,878.70 ", 26.93 ," 2,195.32 "," 3,301.86 "," 1,511.41 ", 349.51 , 275.64 , 979.29 ," 13,831.03 "," 9,593.27 ", 226.07 ," 8,337.39 "," 6,332.56 ", 995.55 
29," 1,072.36 ", 653.73 , 418.04 ," 1,809.50 "," 1,527.15 ", 26.94 ," 2,157.88 "," 3,764.10 "," 1,500.27 ", 367.78 , 247.20 , 984.95 ," 13,791.06 "," 10,036.68 ", 201.80 ," 8,774.99 "," 5,754.93 "," 1,096.36 "
30," 1,068.80 ", 710.46 , 147.08 , 739.57 ," 1,796.87 ", 27.26 ," 1,957.18 "," 3,741.85 "," 2,333.46 ", 442.74 , 253.15 ," 1,253.38 "," 13,749.91 "," 11,066.74 ", 159.25 ," 9,728.61 "," 4,743.19 "," 1,116.67 "
31," 1,069.39 ", 732.53 , 84.31 , 622.47 ," 1,603.57 ", 27.92 ," 1,949.80 "," 3,531.35 "," 2,768.36 ", 441.19 , 217.23 ," 1,214.58 "," 13,559.78 "," 11,249.75 ", 158.58 ," 9,905.27 "," 4,357.43 "," 1,070.05 "
32," 1,090.31 ", 696.38 , 291.76 ," 1,365.42 "," 1,242.95 ", 31.57 ," 1,980.37 "," 3,576.69 "," 2,079.20 ", 419.60 , 201.80 ," 1,044.89 "," 13,337.22 "," 10,437.40 ", 165.35 ," 9,100.74 "," 4,920.19 "," 1,021.05 "
33," 1,105.16 ", 734.77 , 525.71 ," 1,859.85 "," 1,478.04 ", 32.29 ," 2,239.14 "," 3,256.47 "," 1,243.15 ", 352.20 , 255.84 , 881.99 ," 13,254.09 "," 9,390.85 ", 215.84 ," 7,972.95 "," 5,991.65 ", 916.39 
34," 1,092.79 ", 698.74 , 127.20 , 635.76 ," 1,712.99 ", 31.71 ," 2,504.28 "," 3,632.01 "," 1,878.43 ", 563.03 , 236.75 , 972.76 ," 13,207.72 "," 10,732.14 ", 180.85 ," 9,550.52 "," 4,535.94 "," 1,163.37 "
35," 1,080.25 ", 638.75 , 210.93 ," 1,284.59 "," 1,782.32 ", 32.21 ," 2,553.30 "," 3,609.26 "," 1,901.88 ", 860.52 , 254.61 ," 1,089.95 "," 13,677.43 "," 10,399.93 ", 206.78 ," 10,014.91 "," 5,283.65 "," 1,837.68 "
36," 1,084.13 ", 605.64 , 257.86 ," 1,096.59 "," 1,617.97 ", 30.93 ," 2,438.32 "," 3,694.47 "," 2,185.20 ", 776.72 , 263.00 ," 1,235.19 "," 13,631.60 "," 10,659.52 ", 183.12 ," 10,329.89 "," 4,956.11 "," 1,916.55 "
37," 1,081.29 ", 581.44 , 131.57 ," 1,033.15 "," 1,493.66 ", 30.64 ," 2,252.77 "," 3,767.58 "," 2,281.88 ", 852.54 , 262.75 ," 1,360.76 "," 13,605.42 "," 10,947.37 ", 188.08 ," 10,515.53 "," 4,614.50 "," 1,844.10 "
38," 1,073.52 ", 524.86 , 283.73 ," 1,336.25 "," 1,396.99 ", 32.67 ," 2,254.69 "," 3,691.51 "," 2,244.95 ", 887.77 , 237.12 ," 1,241.39 "," 13,679.68 "," 10,663.02 ", 193.45 ," 10,320.30 "," 4,885.14 "," 1,978.50 "
39," 1,100.64 ", 585.16 , 115.24 , 634.68 ," 1,120.71 ", 38.24 ," 2,435.58 "," 4,145.00 "," 2,591.37 ", 914.23 , 195.69 ," 1,255.37 "," 13,469.12 "," 11,598.82 ", 177.96 ," 11,341.55 "," 3,790.36 "," 1,988.83 "
