"datetime;biomass;hydropower;windOffshore;windOnshore;photovoltaics;otherRenewable;nuclear;brownCcoal;hardCoal;fossilGas;hydroPumpedStorage;otherConventional;totalGridLoad;residualLoad;reverseHydroPumpedStorage;sumConventional;sumRenewable"
"2022-07-01T12:45:00;1030;494;683;2452;3248;28;1002;3307;2049;1731;118;207;16368;9986;190;8296;8053"
"2022-07-01T13:00:00;1032;493;715;2545;3292;28;1002;3313;2049;1647;264;207;16362;9811;239;8218;8369"
"2022-07-01T13:15:00;1032;497;717;2533;3290;28;1002;3339;2029;1592;164;207;16452;9913;276;8169;8261"
"2022-07-01T13:30:00;1033;479;698;2557;3318;28;1003;3329;2016;1560;28;213;16209;9636;394;8121;8141"
"2022-07-01T13:45:00;1032;490;699;2733;3409;28;999;3294;1990;1510;8;217;16041;9200;547;8010;8399"
"2022-07-01T14:00:00;1034;511;654;2795;3466;28;998;3261;1990;1445;151;216;16047;9132;349;7910;8639"
"2022-07-01T14:15:00;1033;503;648;2784;3444;28;999;3298;1987;1342;93;216;15951;9076;336;7842;8533"
"2022-07-01T14:30:00;1034;494;652;2741;3417;28;1001;3318;1985;1317;22;216;16011;9200;273;7837;8388"
"2022-07-01T14:45:00;1035;483;599;2730;3498;28;1001;3335;1987;1324;12;216;15775;8948;277;7863;8385"
"2022-07-01T15:00:00;1037;502;600;2666;3510;28;1001;3336;1972;1294;18;215;15848;9072;249;7818;8361"
"2022-07-01T15:15:00;1038;495;601;2574;3435;28;1000;3345;1956;1398;17;215;15756;9146;257;7914;8188"
"2022-07-01T15:30:00;1039;489;614;2546;3446;28;1000;3343;1940;1384;23;215;15583;8978;261;7882;8185"
"2022-07-01T15:45:00;1041;481;586;2539;3495;28;1000;3354;1911;1377;24;215;15520;8900;251;7857;8194"
"2022-07-01T16:00:00;1041;520;582;2434;3483;28;1000;3393;1907;1194;26;215;15380;8881;254;7709;8114"
"2022-07-01T16:15:00;1040;531;581;2355;3430;28;999;3414;1927;1204;25;215;15230;8865;311;7759;7990"
"2022-07-01T16:30:00;1040;520;705;2337;3378;28;1000;3424;1941;1199;13;210;15253;8833;282;7774;8021"
"2022-07-01T16:45:00;1040;527;724;2253;3197;28;1000;3433;1958;1227;20;206;15177;9004;184;7824;7789"
"2022-07-01T17:00:00;1039;501;714;2170;3050;28;1001;3441;1979;1291;36;206;15167;9233;227;7918;7538"
"2022-07-01T17:15:00;1038;509;702;2088;2944;28;1000;3438;1982;1413;66;207;15125;9392;129;8040;7375"
"2022-07-01T17:30:00;1039;548;734;2014;2800;28;1000;3420;1979;1455;36;208;14980;9432;23;8062;7199"
"2022-07-01T17:45:00;1040;558;695;2006;2620;28;1000;3428;1992;1516;87;208;14926;9606;8;8144;7034"
"2022-07-01T18:00:00;1040;486;690;1942;2451;28;998;3398;2014;1590;110;206;14851;9769;155;8206;6747"
"2022-07-01T18:15:00;1041;550;684;1933;2252;28;999;3411;2034;1679;62;208;14710;9841;86;8331;6550"
"2022-07-01T18:30:00;1040;510;705;1829;2029;28;998;3392;2046;1750;278;208;14672;10109;5;8394;6419"
"2022-07-01T18:45:00;1038;529;764;1714;1795;28;999;3397;2054;1766;391;207;14511;10238;3;8423;6259"
"2022-07-01T19:00:00;1038;474;821;1693;1542;28;997;3386;2056;1851;261;207;14464;10408;160;8497;5857"
"2022-07-01T19:15:00;1038;473;839;1604;1281;28;999;3412;2060;1894;353;208;14438;10715;140;8573;5616"
"2022-07-01T19:30:00;1038;507;878;1498;1031;28;998;3450;2075;1895;577;208;14294;10888;79;8626;5557"
"2022-07-01T19:45:00;1037;507;946;1350;809;28;1001;3430;2081;1899;716;207;14111;11007;77;8618;5393"
"2022-07-01T20:00:00;1039;474;962;1306;609;28;999;3408;2082;1875;657;208;13943;11067;78;8572;5075"
"2022-07-01T20:15:00;1039;466;978;1237;439;28;1001;3437;2087;1867;762;207;13940;11286;65;8599;4949"
"2022-07-01T20:30:00;1038;474;983;1194;295;28;1001;3431;2084;1854;840;207;13750;11277;43;8577;4852"
"2022-07-01T20:45:00;1035;474;997;1148;175;28;1000;3404;2085;1864;863;208;13610;11291;38;8561;4720"
"2022-07-01T21:00:00;1035;469;1002;1108;88;28;998;3373;2085;1806;714;208;13531;11333;58;8470;4444"
"2022-07-01T21:15:00;1036;468;1039;1054;32;28;1001;3363;2083;1808;561;209;13500;11376;89;8464;4218"
"2022-07-01T21:30:00;1038;468;1089;977;8;28;1001;3365;2083;1781;500;209;13332;11258;83;8439;4108"
"2022-07-01T21:45:00;1037;464;1077;821;2;28;1001;3332;2078;1798;497;209;13334;11434;55;8418;3926"
"2022-07-01T22:00:00;1036;493;1046;767;0;28;1001;3301;2090;1819;928;208;13183;11369;26;8419;4298"
"2022-07-01T22:15:00;1036;470;1017;811;0;28;1001;3303;2080;1811;763;208;13061;11233;13;8403;4125"
"2022-07-01T22:30:00;1036;469;993;881;0;28;1002;3293;2073;1776;635;208;12808;10934;6;8352;4042"
"2022-07-01T22:45:00;1036;455;977;920;0;28;1003;3255;2075;1591;581;206;12638;10742;4;8130;3997"
"2022-07-01T23:00:00;1037;449;1014;974;0;28;1003;3221;2050;1339;653;207;12384;10396;28;7820;4155"
"2022-07-01T23:15:00;1037;460;1016;1057;0;28;1003;3191;2049;1269;503;208;12224;10152;114;7720;4101"
"2022-07-01T23:30:00;1036;454;975;1105;0;28;1004;3200;2024;1179;420;208;12124;10045;169;7615;4018"
"2022-07-01T23:45:00;1036;452;922;1094;0;28;1005;3158;1977;1084;397;207;11988;9972;184;7431;3929"
"2022-07-02T00:00:00;1033;472;846;1206;0;28;1005;3112;1940;1054;368;198;11634;9582;35;7309;3953"
"2022-07-02T00:15:00;1032;481;771;1271;0;28;1005;3092;1910;1077;283;197;11454;9411;34;7281;3866"
"2022-07-02T00:30:00;1030;463;718;1285;0;28;1005;3093;1857;1042;226;198;11469;9466;34;7195;3750"
"2022-07-02T00:45:00;1031;452;718;1264;0;28;1004;3081;1793;949;232;198;11319;9338;35;7025;3725"
"2022-07-02T01:00:00;1031;458;724;1253;0;28;1005;3092;1743;915;280;200;11165;9189;38;6955;3774"
"2022-07-02T01:15:00;1031;457;706;1275;0;28;1005;3086;1725;913;290;200;11116;9135;38;6929;3787"
"2022-07-02T01:30:00;1030;461;676;1277;0;28;1005;3084;1701;919;249;200;11049;9096;57;6909;3721"
"2022-07-02T01:45:00;1030;462;743;1249;0;28;1004;3080;1616;912;247;200;10923;8931;84;6812;3759"
"2022-07-02T02:00:00;1033;490;789;1295;0;28;1005;3044;1585;828;104;199;10729;8645;83;6661;3739"
"2022-07-02T02:15:00;1034;476;813;1270;0;28;1005;3022;1586;834;60;199;10735;8652;76;6646;3681"
"2022-07-02T02:30:00;1033;469;829;1265;0;28;1005;3001;1574;828;91;199;10689;8595;154;6607;3715"
"2022-07-02T02:45:00;1036;458;861;1272;0;28;1005;2944;1569;830;104;200;10675;8542;200;6548;3759"
"2022-07-02T03:00:00;1035;465;880;1269;0;28;1006;2923;1549;785;41;199;10790;8642;215;6462;3718"
"2022-07-02T03:15:00;1036;479;879;1273;0;28;1006;2923;1527;749;23;200;10734;8582;220;6405;3718"
"2022-07-02T03:30:00;1036;467;836;1298;0;28;1006;2931;1523;715;34;199;10747;8614;161;6374;3699"
"2022-07-02T03:45:00;1034;461;829;1350;0;28;1006;2928;1522;701;34;199;10699;8519;206;6356;3736"
"2022-07-02T04:00:00;1034;451;875;1329;0;28;1007;2925;1524;673;49;199;10612;8409;117;6328;3766"
"2022-07-02T04:15:00;1033;432;872;1323;0;28;1007;2920;1524;643;52;199;10653;8458;90;6293;3740"
"2022-07-02T04:30:00;1033;431;877;1258;1;28;1008;2921;1522;637;56;199;10631;8495;84;6287;3684"
"2022-07-02T04:45:00;1030;430;881;1268;3;28;1007;2913;1520;639;30;199;10643;8492;92;6278;3670"
"2022-07-02T05:00:00;1030;430;889;1267;17;28;1007;2914;1494;648;59;199;10723;8550;161;6262;3720"
"2022-07-02T05:15:00;1029;427;913;1235;42;28;1007;2919;1490;639;32;199;10663;8473;191;6254;3706"
"2022-07-02T05:30:00;1029;430;930;1188;90;28;1007;2925;1484;635;26;200;10701;8493;191;6251;3721"
"2022-07-02T05:45:00;1026;432;982;1151;185;28;1008;2924;1489;632;27;199;10744;8427;236;6252;3831"
"2022-07-02T06:00:00;1027;458;1018;1121;316;28;1008;2897;1540;635;103;198;10837;8383;48;6278;4071"
"2022-07-02T06:15:00;1027;428;1035;1102;499;28;1008;2899;1557;633;136;198;10932;8297;58;6295;4255"
"2022-07-02T06:30:00;1028;425;1020;1067;744;28;1008;2896;1560;632;127;198;11071;8240;70;6294;4439"
"2022-07-02T06:45:00;1026;429;1034;1028;1042;28;1008;2874;1558;630;68;198;11183;8080;61;6268;4655"
"2022-07-02T07:00:00;1029;428;1030;969;1410;28;1008;2894;1548;627;225;199;11414;8006;90;6276;5119"
"2022-07-02T07:15:00;1029;429;998;863;1815;28;1007;2896;1526;615;131;198;11627;7951;128;6242;5293"
"2022-07-02T07:30:00;1030;428;924;768;2269;28;1007;2903;1507;621;134;199;11904;7943;147;6237;5581"
"2022-07-02T07:45:00;1030;426;870;709;2782;28;1006;2888;1429;627;142;201;12188;7827;233;6151;5987"
"2022-07-02T08:00:00;1032;448;858;671;3294;28;1005;2811;1447;624;387;201;12451;7628;79;6088;6718"
"2022-07-02T08:15:00;1032;429;865;614;3822;28;1005;2795;1372;627;231;202;12651;7351;121;6001;7021"
"2022-07-02T08:30:00;1032;427;856;601;4381;28;1004;2796;1290;626;62;202;12907;7070;187;5918;7387"
"2022-07-02T08:45:00;1031;429;863;638;4936;28;1004;2756;1196;622;15;202;13124;6688;414;5780;7940"
"2022-07-02T09:00:00;1031;434;866;730;5482;28;1004;2662;1153;594;48;202;13249;6172;418;5615;8619"
"2022-07-02T09:15:00;1030;434;896;853;6007;28;1002;2634;1075;588;2;202;13492;5737;791;5501;9250"
"2022-07-02T09:30:00;1030;435;913;889;6520;28;994;2639;995;586;3;202;13959;5638;1134;5416;9818"
"2022-07-02T09:45:00;1029;438;913;939;6992;28;959;2613;893;595;4;202;14168;5325;1368;5262;10343"
"2022-07-02T10:00:00;1029;474;909;1139;7404;28;922;2541;851;595;8;201;14212;4761;1296;5110;10991"
"2022-07-02T10:15:00;1029;437;872;1254;7758;28;886;2440;851;596;4;200;14275;4392;1469;4973;11382"
"2022-07-02T10:30:00;1030;435;847;1343;8086;28;878;2335;852;587;3;201;14469;4194;1539;4853;11772"
"2022-07-02T10:45:00;1031;435;855;1366;8337;28;877;2275;868;593;1;201;14584;4027;1610;4814;12053"
"2022-07-02T11:00:00;1030;437;863;1536;8486;28;878;2230;902;580;4;201;14768;3884;1581;4791;12384"
"2022-07-02T11:15:00;1031;438;854;1607;8582;28;878;2196;908;573;7;200;14790;3748;1619;4755;12547"
"2022-07-02T11:30:00;1030;438;810;1647;8770;28;877;2106;904;580;3;201;14792;3565;1578;4668;12726"
"2022-07-02T11:45:00;1030;437;786;1643;8878;28;877;2008;891;582;0;201;14780;3474;1652;4559;12802"
"2022-07-02T12:00:00;1031;435;783;1659;9007;28;878;1879;883;582;1;199;14657;3210;1851;4421;12944"
"2022-07-02T12:15:00;1030;435;755;1597;9110;28;878;1826;858;582;1;200;14454;2992;1851;4344;12956"
"2022-07-02T12:30:00;1028;435;745;1547;9168;28;877;1803;839;583;0;200;14241;2782;1841;4302;12951"
"2022-07-02T12:45:00;1031;432;749;1487;9232;28;876;1788;839;580;0;201;14212;2744;1837;4284;12959"
"2022-07-02T13:00:00;1031;425;729;1424;9228;28;877;1784;874;581;0;201;14130;2749;1843;4317;12865"
"2022-07-02T13:15:00;1031;417;707;1337;9216;28;875;1789;901;577;1;201;14046;2786;1947;4343;12737"
"2022-07-02T13:30:00;1030;427;690;1261;9225;28;876;1799;886;574;4;201;13992;2816;1925;4336;12665"
"2022-07-02T13:45:00;1030;430;691;1154;9173;28;874;1803;868;572;14;201;13815;2797;1909;4318;12520"
"2022-07-02T14:00:00;1030;451;704;1087;9161;28;875;1851;853;575;16;199;13762;2810;1908;4353;12477"
"2022-07-02T14:15:00;1029;431;704;1074;9064;28;876;1896;838;574;11;199;13669;2828;1886;4383;12341"
"2022-07-02T14:30:00;1029;428;667;1038;8946;28;876;1935;824;578;12;199;13529;2878;1896;4412;12148"
"2022-07-02T14:45:00;1028;427;610;981;8818;28;868;1937;815;580;15;199;13511;3101;1831;4399;11907"
"2022-07-02T15:00:00;1028;419;576;746;8604;28;855;1833;827;579;11;198;13552;3626;1914;4292;11412"
"2022-07-02T15:15:00;1027;418;558;792;8403;28;846;1848;830;581;11;199;13492;3740;1905;4304;11237"
"2022-07-02T15:30:00;1027;426;521;821;8186;28;852;1918;834;586;11;199;13342;3815;1866;4389;11020"
"2022-07-02T15:45:00;1026;439;494;806;7983;28;866;1977;829;586;11;198;13182;3899;1691;4456;10787"
"2022-07-02T16:00:00;1026;434;479;715;7708;28;870;2118;820;604;4;198;13147;4245;1616;4610;10394"
"2022-07-02T16:15:00;1026;435;459;701;7406;28;873;2276;840;627;8;198;13039;4473;1512;4814;10063"
"2022-07-02T16:30:00;1026;440;432;654;7047;28;875;2407;952;632;11;198;13064;4931;1375;5064;9638"
"2022-07-02T16:45:00;1025;432;412;663;6662;28;890;2500;1063;670;11;198;13018;5281;1214;5321;9233"
"2022-07-02T17:00:00;1026;413;395;642;6224;28;915;2633;1105;732;6;198;13068;5806;878;5583;8734"
"2022-07-02T17:15:00;1027;410;356;629;5785;28;960;2764;1240;753;35;199;13060;6291;634;5916;8270"
"2022-07-02T17:30:00;1027;439;315;619;5286;28;988;2803;1291;799;56;199;12972;6753;362;6080;7770"
"2022-07-02T17:45:00;1026;435;283;597;4766;28;996;2830;1398;848;116;198;12911;7265;182;6270;7251"
"2022-07-02T18:00:00;1026;412;266;580;4196;28;993;2809;1403;995;118;199;12760;7718;368;6399;6626"
"2022-07-02T18:15:00;1026;424;256;540;3639;28;995;2873;1454;1014;309;198;12697;8262;139;6534;6222"
"2022-07-02T18:30:00;1026;460;252;521;3100;28;996;2911;1454;1028;568;198;12608;8735;78;6587;5955"
"2022-07-02T18:45:00;1024;416;248;496;2579;28;995;2909;1485;1022;1104;199;12491;9168;24;6610;5895"
"2022-07-02T19:00:00;1025;405;247;499;2066;28;993;2866;1498;1111;867;200;12546;9734;15;6668;5137"
"2022-07-02T19:15:00;1025;418;237;491;1615;28;994;2901;1522;1146;1377;201;12550;10207;2;6764;5191"
"2022-07-02T19:30:00;1027;410;228;503;1225;28;994;2930;1521;1155;1643;200;12489;10533;2;6800;5064"
"2022-07-02T19:45:00;1027;440;216;508;914;28;995;2945;1522;1158;1717;200;12415;10778;3;6820;4850"
"2022-07-02T20:00:00;1029;397;209;534;684;28;994;2946;1524;1127;1672;201;12297;10870;3;6792;4553"
"2022-07-02T20:15:00;1029;394;191;569;487;28;994;2960;1523;1132;1667;200;12100;10854;3;6809;4365"
"2022-07-02T20:30:00;1030;396;175;619;324;28;994;2959;1523;1146;1696;200;11980;10862;4;6822;4268"
"2022-07-02T20:45:00;1028;416;169;695;192;28;994;2945;1524;1146;1655;201;11869;10814;4;6810;4183"
"2022-07-02T21:00:00;1027;420;174;808;94;28;994;2939;1523;1146;1722;201;11809;10732;4;6803;4273"
"2022-07-02T21:15:00;1027;411;185;948;32;28;994;2927;1525;1145;1656;202;11744;10580;4;6793;4287"
"2022-07-02T21:30:00;1028;408;194;1090;6;28;994;2916;1525;1149;1563;203;11655;10365;3;6787;4317"
"2022-07-02T21:45:00;1027;399;206;1206;1;28;994;2919;1524;1149;1394;204;11653;10241;3;6790;4261"
"2022-07-02T22:00:00;1028;441;222;1337;0;28;995;2920;1519;1122;1562;203;11738;10179;3;6759;4618"
"2022-07-02T22:15:00;1028;447;242;1518;0;28;995;2918;1521;1155;1442;203;11682;9922;3;6792;4705"
"2022-07-02T22:30:00;1029;431;262;1686;0;28;994;2922;1518;1143;1319;203;11625;9677;3;6780;4755"
"2022-07-02T22:45:00;1028;387;278;1841;0;28;994;2912;1522;1104;1105;203;11534;9414;22;6735;4667"
"2022-07-02T23:00:00;1029;434;304;1985;0;28;995;2922;1518;1040;1081;202;11390;9101;10;6677;4861"
"2022-07-02T23:15:00;1029;412;324;2109;0;28;994;2911;1519;1112;887;202;11295;8863;16;6738;4789"
"2022-07-02T23:30:00;1028;389;364;2218;0;28;995;2907;1517;1025;608;203;11160;8578;102;6647;4635"
"2022-07-02T23:45:00;1028;428;374;2311;0;28;995;2900;1522;968;347;203;11043;8358;209;6588;4516"
"2022-07-03T00:00:00;1027;431;393;2397;0;28;995;2939;1529;820;428;202;10693;7903;82;6485;4704"
"2022-07-03T00:15:00;1026;382;397;2451;0;28;997;2915;1528;811;353;202;10713;7866;77;6453;4637"
"2022-07-03T00:30:00;1026;375;393;2512;0;28;997;2914;1518;787;213;201;10564;7659;161;6417;4547"
"2022-07-03T00:45:00;1027;363;393;2534;0;28;997;2901;1494;783;148;201;10386;7459;221;6376;4493"
"2022-07-03T01:00:00;1030;403;388;2544;0;28;999;2854;1462;792;64;199;10269;7338;113;6306;4457"
"2022-07-03T01:15:00;1031;366;376;2561;0;28;998;2843;1435;777;40;200;10210;7273;110;6253;4402"
"2022-07-03T01:30:00;1032;362;387;2569;0;28;998;2840;1385;775;31;200;10138;7182;127;6198;4409"
"2022-07-03T01:45:00;1032;361;423;2568;0;28;997;2837;1319;778;28;200;10079;7088;131;6131;4440"
"2022-07-03T02:00:00;1033;374;463;2530;0;28;998;2835;1225;756;35;198;9930;6937;224;6012;4463"
"2022-07-03T02:15:00;1034;397;458;2486;0;28;999;2865;1150;728;47;199;9989;7045;237;5941;4450"
"2022-07-03T02:30:00;1035;365;449;2422;0;28;999;2870;1117;728;18;198;9922;7052;180;5912;4317"
"2022-07-03T02:45:00;1034;360;476;2342;0;28;998;2856;1103;726;12;198;9851;7034;172;5881;4252"
"2022-07-03T03:00:00;1035;365;478;2264;0;28;999;2882;1106;694;20;198;9784;7042;125;5879;4190"
"2022-07-03T03:15:00;1035;360;458;2232;0;28;1000;2900;1097;694;22;198;9685;6995;121;5889;4135"
"2022-07-03T03:30:00;1035;362;469;2189;0;28;1000;2907;1071;696;34;197;9734;7076;118;5871;4117"
"2022-07-03T03:45:00;1033;377;456;2152;0;28;1001;2902;1059;696;20;198;9676;7068;118;5856;4066"
"2022-07-03T04:00:00;1033;382;433;2065;0;28;1001;2909;969;698;31;199;9796;7299;128;5776;3972"
"2022-07-03T04:15:00;1032;392;418;2012;0;28;1001;2904;935;697;39;198;9755;7326;106;5735;3921"
"2022-07-03T04:30:00;1033;405;387;2007;1;28;1000;2908;909;700;50;197;9695;7300;102;5714;3911"
"2022-07-03T04:45:00;1030;395;361;1955;2;28;1000;2890;896;706;97;198;9628;7310;102;5690;3868"
"2022-07-03T05:00:00;1030;368;337;1909;16;28;1001;2892;859;695;88;198;9622;7361;132;5645;3776"
"2022-07-03T05:15:00;1026;358;320;1887;42;28;1001;2898;852;692;68;198;9625;7376;134;5641;3729"
"2022-07-03T05:30:00;1029;366;305;1853;90;28;1000;2899;839;690;49;197;9598;7350;156;5625;3720"
"2022-07-03T05:45:00;1028;354;294;1793;184;28;1000;2901;821;688;26;197;9630;7360;157;5607;3707"
"2022-07-03T06:00:00;1028;357;287;1762;313;28;1000;2920;813;711;32;198;9689;7327;215;5642;3807"
"2022-07-03T06:15:00;1028;355;275;1681;492;28;1001;2918;800;710;5;197;9783;7335;228;5626;3864"
"2022-07-03T06:30:00;1027;357;258;1632;729;28;1001;2923;801;709;15;197;9876;7257;219;5631;4046"
"2022-07-03T06:45:00;1025;360;235;1539;1025;28;1001;2920;799;702;14;198;10008;7210;258;5620;4226"
"2022-07-03T07:00:00;1028;386;232;1374;1400;28;1001;2922;833;714;74;198;10235;7228;194;5668;4522"
"2022-07-03T07:15:00;1028;382;214;1226;1816;28;1001;2919;816;698;111;198;10502;7246;312;5632;4805"
"2022-07-03T07:30:00;1029;376;203;1027;2271;28;1001;2920;792;700;121;197;10768;7267;386;5610;5055"
"2022-07-03T07:45:00;1028;386;187;844;2771;28;1001;2919;756;696;78;198;10927;7126;414;5570;5322"
"2022-07-03T08:00:00;1030;392;191;767;3321;28;1001;2892;723;743;198;197;11161;6882;352;5556;5927"
"2022-07-03T08:15:00;1029;396;185;683;3872;28;1000;2892;713;713;138;198;11464;6724;402;5516;6331"
"2022-07-03T08:30:00;1029;385;174;620;4393;28;1000;2892;707;714;78;198;11690;6502;464;5511;6707"
"2022-07-03T08:45:00;1029;373;159;638;4930;28;999;2882;683;718;10;197;11847;6120;576;5479;7167"
"2022-07-03T09:00:00;1028;418;161;655;5465;28;998;2855;715;725;109;197;12002;5722;419;5490;7864"
"2022-07-03T09:15:00;1028;385;164;694;5951;28;989;2840;682;704;20;199;12252;5443;542;5414;8270"
"2022-07-03T09:30:00;1027;385;173;720;6433;28;952;2835;619;727;5;199;12401;5075;764;5332;8771"
"2022-07-03T09:45:00;1029;404;173;734;6866;28;913;2762;598;709;3;197;12513;4741;937;5179;9237"
"2022-07-03T10:00:00;1026;410;158;770;7282;28;879;2699;592;671;1;197;12632;4423;849;5038;9675"
"2022-07-03T10:15:00;1027;388;149;791;7627;28;872;2672;584;639;0;198;12739;4172;1044;4965;10010"
"2022-07-03T10:30:00;1027;399;137;769;7945;28;871;2654;580;601;5;198;12940;4090;1162;4904;10310"
