New date,Biomass avg,Hydrop avg,windOFFshore avg,windONshore avg,photovoltaics avg,other renewable avg,nuclear avg,brown coal avg,hard coal avg,fossil gas avg,hydro pumped storage avg,other conventional avg,total grid load avg,residual load avg,reverse hydro pumbed avg,sum conventional avg,sum renewable avg
2016-01-01T00:00:00,1144.88,254.58,514.96,1566.83,0,46,2657.21,3717.46,994.83,484.08,78.33,783.08,10082.13,8000.54,309.88,8636.67,3605.58
2016-01-01T06:00:00,1153.75,256,160.38,885.58,308.08,46,2574.54,3709.33,1099.33,494.46,93.13,767.17,9937.21,8583.54,264.21,8644.83,2902.92
2016-01-01T12:00:00,1158.42,265.29,11.29,186.13,465.5,46,2649.75,3830.58,1490.13,504.25,362.92,852.54,11827,11164.54,86.75,9327.25,2495.54
2016-01-01T18:00:00,1155.29,256.42,189.71,967.46,0,46,2658.25,3825.83,1421.92,503.04,413.54,837.42,12195.5,11038.71,135.08,9246.46,3028.42
2016-02-01T00:00:00,1141.46,251.58,612.42,2153.58,0,41.13,2608.71,2893.04,765.29,439.79,108.46,752.92,9762.88,6997,549.71,7459.75,4308.63
2016-02-01T06:00:00,1146.33,265.25,699.83,3638.08,162.88,42.67,2586.63,3040.38,809.42,478.42,174.88,866.92,12195.21,7694.92,183.83,7781.75,6129.92
2016-02-01T12:00:00,1153.54,268.38,690.79,4132.71,229.25,43.67,2589.29,3328.38,950.96,513.5,246.96,962.46,14129.08,9076.75,21.79,8344.58,6765.29
2016-02-01T18:00:00,1151.79,260.5,683.17,4310.25,0,44.21,2582.83,3386.88,836.33,519.67,447.29,833.88,13677.42,8684.21,75.29,8159.58,6897.21
2016-03-01T00:00:00,1127.58,260.13,674.08,4070.92,0,41.58,2624.67,2632.96,549.58,476.46,78.17,671.88,10603.42,5858.75,490.08,6955.54,6252.46
2016-03-01T06:00:00,1133.21,266.92,667.88,3771.42,207.38,42.92,2617.71,2962.88,634.08,501.92,119,812.29,11683.33,7037.25,237.42,7528.88,6208.71
2016-03-01T12:00:00,1144.25,270.88,651.71,3207.13,356.21,45.33,2627.38,3625.79,889.46,531.96,380.54,722.25,13323.38,9108.92,40.5,8396.83,6056.04
2016-03-01T18:00:00,1145.08,274.25,637.83,3805.58,0,45.58,2621.96,3721.21,992.79,531.21,408.46,869,13515.5,9072.25,82.46,8736.17,6316.79
2016-04-01T00:00:00,1124.29,284.08,651.71,3152.79,0,42.38,2584.54,3242.08,970.75,523.96,70.46,878.17,11395.63,7591.42,671.79,8199.5,5325.71
2016-04-01T06:00:00,1140.04,301.17,665.79,2536.79,164.71,45.75,2632.96,4169.38,2600.13,877.29,562.21,1557.75,15926.92,12559.67,72.54,11837.5,5416.46
2016-04-01T12:00:00,1149.79,331.88,670.04,1992.21,255.38,46,2648.5,4175.33,3126.08,1223.08,564.83,1599.04,16978.63,14061.58,40.58,12772.04,5010.13
2016-04-01T18:00:00,1153.83,318.33,672.96,2046.38,0,46,2638.83,4289,3226.79,940.46,252.58,1428.04,15854.33,13135.33,56.79,12523.13,4490.08
2016-05-01T00:00:00,1136.04,329.54,674.08,1759.63,0,46,2637.63,4172.67,2038.33,581.96,83.42,977.79,12551,10117.71,705.96,10408.38,4028.71
2016-05-01T06:00:00,1142.58,306.38,662.13,1746.83,201.96,46,2650.17,4267.71,3584,833.75,319.5,1517.08,16480.88,13870.25,46.42,12852.71,4425.38
2016-05-01T12:00:00,1153.83,313.25,630.5,1610.29,321.21,46,2650,4041.58,3894.33,969.13,511.38,1586,17351.13,14789.38,12.79,13141.04,4586.46
2016-05-01T18:00:00,1146.25,313.46,637.46,1587.33,0,46,2647.88,3806.21,3760.92,874.58,395.08,1572.96,15978.21,13753.67,35.38,12662.54,4125.58
2016-06-01T00:00:00,1120.21,292.79,634.71,1332.46,0,46,2642.21,3809.04,2748.17,582.54,72.29,1042.83,12536.42,10569.67,610.79,10824.79,3498.46
2016-06-01T06:00:00,1129.75,289.21,660.13,1163.58,226.58,46.04,2688.92,3940.58,3801.25,1004.63,318.04,1593.13,15642.71,13592.79,68.04,13028.5,3833.33
2016-06-01T12:00:00,1147.29,295.17,650.04,833.92,298.38,43.58,2697.08,3965.17,4064.5,1186.21,414.58,1685.58,16511.38,14729.58,20.04,13598.54,3682.96
2016-06-01T18:00:00,1156.83,285.33,655.38,1009.17,0,46,2692.63,3896.5,4186.13,959.67,520.83,1480.17,15572.54,13908.46,61.42,13215.08,3673.54
2016-07-01T00:00:00,1135.13,280.33,660.83,1160.67,0,46,2653.13,3892.96,2720.88,569.58,53.96,1040.04,12565.08,10743.88,734,10876.58,3336.92
2016-07-01T06:00:00,1131.5,295,678.46,1842.67,337.29,45.54,2495.63,4065.33,3918.25,696.38,425.17,1736.75,17153.17,14295.04,89.5,12912.33,4755.63
