CW, biomass , hydro , wind off , wind on , solar , othe renewables , nuclear , brown coal , hard coal , fossil gas , hydro pumped storage , other conventional , total grid load , residual load , reverse hydro pumped , sum conventional , sum renewable , net exp MWH 
21," 1,152.65 ", 508.31 , 254.23 ," 1,326.23 "," 2,105.30 ", 46.94 ," 1,931.01 "," 3,595.45 "," 1,418.22 ", 433.60 , 273.44 ," 1,076.39 "," 13,015.39 "," 9,329.95 ", 245.83 ," 8,454.67 "," 5,667.08 "," 1,469.76 "
22," 1,121.99 ", 540.58 , 237.66 ," 1,235.05 "," 2,065.30 ", 44.00 ," 2,022.35 "," 3,527.74 "," 1,917.73 ", 695.65 , 292.28 ," 1,048.03 "," 13,828.81 "," 10,291.13 ", 225.92 ," 9,211.51 "," 5,536.87 "," 1,414.37 "
23," 1,116.92 ", 553.11 , 566.34 ," 2,520.48 "," 1,705.55 ", 41.46 ," 2,218.57 "," 3,292.55 ", 698.01 , 406.45 , 289.86 ," 1,006.87 "," 13,160.29 "," 8,368.27 ", 272.46 ," 7,622.45 "," 6,793.71 "," 1,582.48 "
24," 1,117.75 ", 520.06 , 535.48 ," 2,391.41 "," 1,989.01 ", 41.28 ," 2,221.08 "," 3,455.11 "," 1,058.79 ", 485.03 , 308.40 ," 1,007.74 "," 13,385.84 "," 8,470.29 ", 251.49 ," 8,227.76 "," 6,903.39 "," 2,059.40 "
25," 1,110.33 ", 486.10 , 349.45 ," 1,634.15 "," 2,117.03 ", 40.53 ," 2,176.48 "," 3,633.42 "," 1,842.88 ", 681.68 , 281.22 ," 1,079.86 "," 14,020.07 "," 9,919.78 ", 216.67 ," 9,414.33 "," 6,018.80 "," 1,870.87 "
26," 1,114.31 ", 512.90 , 449.80 ," 2,248.14 "," 1,447.43 ", 40.97 ," 2,209.22 "," 3,654.91 "," 1,374.36 ", 663.02 , 275.21 ," 1,125.15 "," 13,895.82 "," 9,750.82 ", 199.49 ," 9,026.66 "," 6,088.76 "," 1,616.31 "
27," 1,103.73 ", 496.77 , 259.32 ," 1,401.21 "," 1,891.36 ", 39.11 ," 2,125.51 "," 3,580.83 "," 1,777.50 ", 783.04 , 232.86 ," 1,297.96 "," 13,843.16 "," 10,291.64 ", 198.86 ," 9,564.83 "," 5,424.36 "," 1,552.20 "
28," 1,102.36 ", 507.86 , 239.99 ," 1,251.54 "," 1,570.81 ", 40.61 ," 1,606.26 "," 3,607.40 "," 1,580.37 ", 861.60 , 223.53 ," 1,485.35 "," 13,794.21 "," 10,732.21 ", 182.21 ," 9,140.98 "," 4,936.69 ", 680.87 
29," 1,102.39 ", 487.97 , 362.84 ," 1,116.92 "," 1,872.18 ", 39.11 ," 1,599.69 "," 3,429.66 "," 1,691.01 ", 831.08 , 201.51 ," 1,353.96 "," 13,709.96 "," 10,358.33 ", 185.45 ," 8,905.39 "," 5,182.93 ", 881.65 
30," 1,104.84 ", 527.90 , 346.35 ," 2,028.59 "," 1,228.26 ", 40.28 ," 1,726.81 "," 3,487.26 "," 1,346.99 ", 593.52 , 221.03 ," 1,219.37 "," 13,523.52 "," 9,920.66 ", 206.71 ," 8,373.82 "," 5,497.25 ", 740.91 
31," 1,094.31 ", 536.85 , 485.36 ," 2,104.96 "," 1,646.54 ", 42.35 ," 2,171.41 "," 3,403.96 ", 963.57 , 473.29 , 251.47 ," 1,050.77 "," 13,540.51 "," 9,304.01 ", 198.43 ," 8,062.88 "," 6,161.83 "," 1,189.04 "
32," 1,102.33 ", 523.23 , 360.07 ," 1,515.10 "," 1,320.94 ", 44.93 ," 2,196.88 "," 3,777.07 "," 1,051.01 ", 508.07 , 227.64 ," 1,078.77 "," 13,284.46 "," 10,088.71 ", 215.57 ," 8,611.80 "," 5,094.24 ", 837.70 
33," 1,108.98 ", 550.59 , 409.89 ," 1,456.63 "," 1,598.67 ", 44.48 ," 2,464.92 "," 3,717.80 "," 1,025.51 ", 386.43 , 250.76 , 952.84 ," 13,284.76 "," 9,819.85 ", 208.97 ," 8,547.49 "," 5,419.99 "," 1,130.61 "
34," 1,118.37 ", 507.51 , 371.14 ," 1,179.59 "," 1,723.35 ", 44.42 ," 2,505.13 "," 3,734.37 "," 1,676.34 ", 315.97 , 232.60 ," 1,029.57 "," 13,374.90 "," 10,101.12 ", 189.80 ," 9,261.38 "," 5,176.99 "," 1,544.39 "
35," 1,095.65 ", 487.08 , 169.54 , 947.31 ," 1,387.82 ", 44.81 ," 2,445.87 "," 3,977.22 "," 2,135.22 ", 424.76 , 229.64 ," 1,110.02 "," 13,509.72 "," 11,005.36 ", 191.87 ," 10,093.10 "," 4,361.83 "," 1,440.65 "
36," 1,098.04 ", 536.39 , 347.03 ," 2,255.21 "," 1,163.77 ", 46.36 ," 2,202.46 "," 3,579.04 "," 1,594.23 ", 392.17 , 253.58 ," 1,150.43 "," 13,670.96 "," 9,905.25 ", 223.33 ," 8,918.34 "," 5,700.38 "," 1,430.63 "
37," 1,011.65 ", 532.83 , 636.51 ," 4,062.16 "," 1,012.73 ", 45.96 ," 2,151.04 "," 3,201.69 "," 1,046.90 ", 331.38 , 274.93 ," 1,161.95 "," 14,050.03 "," 8,338.93 ", 278.99 ," 7,892.97 "," 7,576.76 "," 1,747.53 "
38, 923.93 , 528.73 , 135.97 , 444.81 ," 1,132.45 ", 41.43 ," 2,242.57 "," 3,958.71 "," 2,776.50 ", 735.24 , 244.98 ," 1,557.62 "," 13,873.33 "," 12,160.41 ", 199.60 ," 11,270.63 "," 3,452.31 "," 1,396.48 "
39," 1,106.16 ", 473.23 , 369.49 ," 1,032.20 ", 991.44 , 43.61 ," 2,258.60 "," 3,740.46 "," 2,564.90 ", 855.73 , 277.76 ," 1,436.61 "," 14,111.50 "," 11,718.69 ", 230.44 ," 10,856.30 "," 4,293.88 "," 1,551.29 "
40," 1,095.99 ", 488.47 , 998.00 ," 4,725.67 ", 724.89 , 47.08 ," 2,472.09 "," 3,049.28 ", 483.11 , 462.14 , 278.39 ," 1,002.22 "," 13,796.32 "," 7,348.06 ", 292.91 ," 7,468.85 "," 8,358.49 "," 2,356.35 "
41," 1,106.05 ", 468.40 , 684.67 ," 3,178.31 ", 759.03 , 49.41 ," 2,521.42 "," 3,517.71 "," 1,787.73 ", 585.81 , 312.25 ," 1,246.16 "," 14,542.21 "," 9,920.51 ", 256.44 ," 9,658.84 "," 6,558.12 "," 2,119.13 "
