Date,Biomass,Hydro,Wind Offshore,Wind Onshore,Solar,Other renewable,Nuclear,Brown coal,Hard coal,Fossil Gas,Hydro pumped storage,Other Conventional,Total grid load,Residual load,Reverse hydro pumped,Sum conventional,Sum renewable,CW,Season,Net exp MWh
01/01/2021,1179,295,140,684,225,58,2038,2879,819,1701,175,422,11454,10406,266,7859,2756,1,1,-48
02/01/2021,1185,287,177,746,165,58,2033,3154,928,1859,260,411,12216,11129,335,8385,2879,1,1,-183
03/01/2021,1182,284,1069,3435,69,58,1902,2530,861,1232,221,424,12643,8070,382,6949,6318,2,1,1387
04/01/2021,1173,304,1263,2799,56,58,1892,3397,1731,2237,382,418,15362,11245,303,9675,6035,2,1,1301
05/01/2021,1169,334,1457,2359,62,58,1950,3655,2107,2443,379,417,15793,11915,296,10573,5819,2,1,1520
06/01/2021,1166,321,916,1448,74,56,2030,3564,2400,2527,223,421,15136,12697,320,10942,4205,2,1,925
07/01/2021,1181,347,249,1251,84,57,2041,3723,2711,2765,422,429,15848,14265,287,11669,3590,2,1,505
08/01/2021,1179,347,233,1038,95,57,2039,3701,2703,2972,415,426,15656,14290,368,11841,3364,2,1,388
09/01/2021,1179,319,81,602,160,56,2022,3626,2456,2552,300,426,13857,13015,197,11083,2697,2,1,918
10/01/2021,1180,297,837,1659,297,57,1990,3437,1717,2075,193,409,13468,10676,299,9627,4520,3,1,1536
11/01/2021,1161,294,1236,5549,225,57,1921,3287,1667,1888,329,410,16973,9963,372,9173,8851,3,1,1715
12/01/2021,1160,296,1270,6219,122,56,1914,2895,1731,1852,365,374,17130,9519,395,8765,9488,3,1,1958
13/01/2021,1160,309,1480,7160,244,56,1889,2916,1507,1539,193,357,17194,8310,461,8209,10604,3,1,2144
14/01/2021,1170,346,670,2873,129,55,2021,3618,2243,2488,377,383,16803,13131,274,10753,5619,3,1,646
15/01/2021,1177,372,230,1488,229,57,2047,3985,2545,2903,437,408,16444,14497,287,11888,3989,3,1,578
16/01/2021,1179,336,670,1121,154,57,2038,3911,1733,2605,144,407,14500,12556,276,10695,3661,3,1,987
17/01/2021,1168,295,580,837,151,57,2039,3676,1721,2298,207,398,13641,12074,252,10132,3295,4,1,863
18/01/2021,1170,314,1192,4190,120,56,2016,3866,1756,2348,283,413,16538,11036,307,10399,7325,4,1,2195
19/01/2021,1161,339,1195,7057,118,56,1994,3329,1602,1444,306,446,17006,8637,300,8816,10232,4,1,3141
20/01/2021,1159,340,1459,7734,371,56,1871,2409,1187,1268,263,413,16916,7353,338,7148,11382,4,1,2261
21/01/2021,1158,300,1131,8627,442,51,1883,1994,1045,1125,285,386,16907,6707,419,6434,11994,4,1,2191
22/01/2021,1163,322,1294,5514,408,52,1892,2987,1172,1913,308,401,16372,9157,365,8365,9062,4,1,1739
23/01/2021,1168,344,629,1904,242,56,2020,3967,1241,1737,226,402,13982,11207,332,9367,4569,4,1,574
24/01/2021,1165,330,62,1822,252,57,1995,3838,1393,1731,182,407,13127,10991,321,9364,3869,5,1,772
25/01/2021,1165,338,294,1203,272,57,2032,3961,2531,2697,366,413,16125,14356,249,11635,3696,5,1,12
26/01/2021,1168,356,358,3223,233,56,2040,3934,2451,2487,368,398,16779,12966,292,11309,5761,5,1,1319
27/01/2021,1158,373,731,2747,237,57,2039,3994,2316,2471,325,397,16811,13097,346,11217,5626,5,1,1206
28/01/2021,1161,372,542,2385,155,56,2037,3910,2155,2406,326,390,16666,13584,281,10898,4997,5,1,643
29/01/2021,1169,410,1544,4294,308,56,2019,3775,1030,1637,242,399,16262,10117,331,8859,8022,5,1,1685
30/01/2021,1161,409,260,2060,243,57,2040,3502,914,1703,376,399,14068,11505,286,8558,4566,5,1,16
31/01/2021,1173,370,334,1689,444,57,2043,3464,881,1413,162,392,13529,11063,430,8193,4228,6,1,-24
01/02/2021,1176,367,514,2113,287,55,2039,3522,2167,2401,423,386,16254,13340,252,10515,4934,6,1,394
02/02/2021,1166,378,364,2115,240,52,2032,3514,2104,2529,311,375,16399,13680,301,10554,4626,6,1,-103
03/02/2021,1165,396,1539,4442,166,54,2017,3294,1162,1813,345,384,16615,10467,383,8671,8107,6,1,1185
04/02/2021,1143,391,1403,2538,648,54,1861,3378,1612,2181,352,386,16100,11511,290,9418,6531,6,1,1081
05/02/2021,1179,376,1618,2619,335,55,1889,3461,1238,2182,326,397,15928,11356,232,9166,6507,6,1,911
06/02/2021,1166,376,1383,5991,228,55,1951,1690,706,1287,184,389,14395,6793,248,6024,9384,6,1,2046
07/02/2021,1152,393,920,7226,161,53,1827,1411,790,1230,212,386,14100,5793,405,5645,10117,7,1,2802
08/02/2021,1156,449,1316,4111,216,55,1965,3296,1579,2228,360,406,16621,10978,246,9474,7663,7,1,1377
09/02/2021,1154,461,1382,1280,119,56,2026,3742,2434,2729,407,416,17046,14267,282,11346,4857,7,1,245
10/02/2021,1151,457,915,1411,148,56,2043,3852,2413,2871,405,413,17175,14701,344,11592,4544,7,1,205
11/02/2021,1108,444,463,996,299,55,2043,3731,2462,2983,320,403,17100,15342,351,11621,3686,7,1,-524
12/02/2021,1166,429,723,2371,499,56,2043,3391,2256,2961,259,410,16872,13279,270,11061,5503,7,1,800
13/02/2021,1166,404,231,2011,650,56,2046,3326,1767,2600,265,420,14879,11987,242,10159,4784,7,1,1128
14/02/2021,1164,381,1173,2781,765,56,2039,2987,1062,1894,118,425,14243,9524,358,8406,6438,8,1,1643
15/02/2021,1160,379,1050,4973,361,55,1977,3360,1469,2360,358,423,17068,10685,219,9590,8336,8,1,2169
16/02/2021,1158,404,972,3091,419,55,2003,3616,1316,2394,300,366,16462,11980,272,9694,6399,8,1,810
17/02/2021,1159,413,1312,5033,638,54,2013,2865,945,1927,205,364,16507,9525,325,8114,8814,8,1,1715
18/02/2021,1152,400,1484,4454,1003,55,1982,2642,877,1846,253,381,16253,9313,285,7727,8801,8,1,1141
19/02/2021,1098,374,1431,3783,1130,55,1908,2619,922,1927,370,379,15813,9469,307,7755,8242,8,1,1069
